scenario_id,sector,issue_type,scenario_name,asset_types,failure_modes,causes,states,impacts,location_patterns,time_expressions,urgency_expressions,agency_candidates,responsible_party_hints,hitl_triggers,hard_negative_near_misses,required_evidence,forbidden_combinations,dialect_notes,example_complaints,coverage_status
CFS-0042,FLOODING,flooding_from_construction_site,construction runoff flooding street,warsha; chantier; may; tari2,may 3am tenzal; tein; drain msakkar,unknown; citizen-observed failure,construction blockage; bad grading,road flooding; mud; property damage,7ad l warsha; 2oddem l bineye; 3al rasif,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CDR,public agency depends on asset and location,private construction vs municipal enforcement,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,men l warsha may 3am tenzal 3al tari2; chantier msakkar l drain w l may 3am tetjama3; tein l warsha 3am yfout 3al share3,seed
CFS-0043,FLOODING,coastal_or_river_overflow,river/coastal overflow,nahr; bahr; channel; may,faydan; 3am yotla3; 3am yfout 3al tari2,unknown; citizen-observed failure,storm surge; river blockage,road/property flooding; safety risk,7ad l nahr; 3al corniche; bel 7ay l wati,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; MUN; MOE; CDR,public agency depends on asset and location,emergency and environmental jurisdiction,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l nahr 3am yotla3 3al tari2; may l bahr 3am tfout 3al corniche; l channel faydan 7ad l byout,seed
CFS-0044,FLOODING,repeat_flood_hotspot,same spot floods every storm,balou3a; tari2; hotspot; drain,kel shita byighra2; ma tzal7it,unknown; citizen-observed failure,chronic drainage design issue,repeated damage; citizen follow-up,nafs l ma7al; 3al mafra2; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CDR,public agency depends on asset and location,capital repair vs routine cleaning,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,kel shita nafs l tari2 btighra2; hay balou3a ma tzal7it w l may bterja3; 3al mafra2 kel matar bysir feydan,strong
CFS-0045,ROADS,pothole,large pothole in road,joura; 7afra; tari2,kbire; 3ami2a; ma byinshaf,unknown; citizen-observed failure,bad asphalt; rain; old repair,damages cars; crash risk,3al tari2; 2oddem l pharmacy; 7ad l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CDR,public agency depends on asset and location,municipal street vs main road,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi joura kbire 3al tari2; l 7afra 3ami2a w ma byinshaf bel leil; joora 2oddem l pharmacy 3am tdorob l dwelib,strong
CFS-0046,ROADS,pothole,pothole getting bigger,joura; 7afra; asphalt,3am tekbar; 3am tetwassa3; saret khatira,unknown; citizen-observed failure,rain; traffic; poor patch,cars swerving; pedestrians at risk,3al mafra2; 2oddem l bineye; 7ad l madrase,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT,public agency depends on asset and location,road ownership,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,"Use intransitive tekbar/tetwassa3, not tkabber unless causative",l joura 3am tekbar kel yom; l 7afra saret khatira ba3d l matar; joora 3al mafra2 3am tetwassa3,seed
CFS-0047,ROADS,pothole,pothole damaging vehicles,joura; 7afra; dwelib; sayarat,3am tkasser; 3am tdorob; khatir,unknown; citizen-observed failure,deep pothole; no warning sign,tire damage; accident risk,3al tari2 l 3am; 7ad l station; 2oddem l dekken,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; ISF,public agency depends on asset and location,main road and crash evidence,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l joura 3am tkasser l dwelib; sayyara darabet bel 7afra; 7ofra 3al tari2 l 3am w l 3alam 3am tet2aza,seed
CFS-0048,ROADS,road_damage,bad asphalt or broken pavement,zefet; asfalt; tari2,mkassar; m2ashshar; m3abbar,unknown; citizen-observed failure,poor paving; old repair; heavy trucks,rough driving; water collects,3al share3; 7ad l market; 2oddem l madkhal,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CDR,public agency depends on asset and location,road class and project owner,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l zefet mkassar 3al share3; asfalt l tari2 m2ashshar; l tari2 m3abbra w l sayarat 3am tdorob,seed
CFS-0049,ROADS,road_crack,road cracks spreading,tari2; sha22; zefet,mtsha22a2; 3am yefta7; sha22 kbire,unknown; citizen-observed failure,ground movement; old asphalt,collapse risk; water entering roadbed,3al tari2; 7ad l bineye; 2oddem l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CDR,public agency depends on asset and location,possible collapse or infrastructure works,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l tari2 mtsha22a2a 7ad l bineye; sha22 kbire 3am tefta7 bel zefet; fi tashaqo2 bel share3 w 3am ykbar,seed
CFS-0050,ROADS,road_collapse,road sinkhole or collapse,tari2; joura kbire; sinkhole,nharit; fatha; khesfet,unknown; citizen-observed failure,underground leak; bad drainage; works,vehicle/pedestrian danger; road closure,3al tari2; 3al mafra2; ta7t l jisr,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CDR; CD; ISF,public agency depends on asset and location,critical safety and road ownership,private-only issue; unrelated app/file/password/order context,GPS; image; road blocked flag; safety flag,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l tari2 nharit w fi fatha kbire; fi khesfe bel share3; joura fatha 3al tari2 w khatira,strong
CFS-0051,ROADS,road_blocked,road blocked by obstacle,tari2; sayyara; 7ajiz; 7jar,msakkra; ma fi mourour; obstacle,unknown; citizen-observed failure,illegal parking; rocks; works,traffic blocked; emergency access blocked,3al share3; 7ad l madkhal; 3al tari2 l 3am,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; ISF,public agency depends on asset and location,traffic enforcement vs municipal road obstruction,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l tari2 msakkra w ma fi mourour; fi 7jar msakrin nos l share3; sayyara msakkra l madkhal 3al tari2,seed
CFS-0052,ROADS,road_closed,unannounced road closure,tari2; 7ajiz; works; barrier,msakkra; bala ishara; ma fi alternative,unknown; citizen-observed failure,road works; event; obstruction,residents cannot access; traffic jam,3al tari2; 3al mafra2; 7ad l sou2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; ISF,public agency depends on asset and location,authorized closure vs illegal blockage,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,sakkaro l tari2 bala ishara; fi works w ma fi tari2 badil; l 7ajiz msakkar l share3 w l 3alam 3al2ane,seed
CFS-0053,ROADS,broken_sidewalk,broken sidewalk,rasif; balat; sidewalk,maksour; mafrout; ghata tale3,unknown; citizen-observed failure,old tiles; tree roots; works,pedestrians forced into street,3al rasif; 2oddem l madrase; 7ad l pharmacy,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,municipal sidewalk vs private frontage,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l rasif maksour 2oddem l madrase; balat l rasif mafrout w l 3alam 3am tenzal 3al tari2; sidewalk khatir 7ad l pharmacy,seed
CFS-0054,ROADS,broken_sidewalk,sidewalk blocked or inaccessible,rasif; sidewalk; baste; cars,msakkar; ma fi ma7al nemshe; m3abba,unknown; citizen-observed failure,illegal parking; vendor; construction,wheelchairs/pedestrians blocked,2oddem l mahal; 7ad l school; bel sou2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; ISF,public agency depends on asset and location,enforcement vs infrastructure repair,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l rasif msakkar bel sayarat; ma fina nemshe 3al rasif men l baste; chantier akel l sidewalk w l 3alam 3al tari2,seed
CFS-0055,ROADS,missing_manhole,missing manhole cover,ghata; manhole; biar,maf2oud; mfatou7; msrou2,unknown; citizen-observed failure,theft; broken cover; road works,fall risk; car damage,3al tari2; 3al rasif; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; BMLWE; NLWE; BWE; SLWE,public agency depends on asset and location,sewer/water/telecom/road owner unclear,private-only issue; unrelated app/file/password/order context,GPS; image; safety flag,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ghata l biar maf2oud 3al tari2; manhole mfatou7 w khatir; fi biar bala ghata 2oddem l bineye,strong
CFS-0056,ROADS,road_sign_issue,missing or damaged road sign,ishara; sign; law7a,maf2oude; maksoora; ma byin2ara,unknown; citizen-observed failure,accident; vandalism; old sign,drivers confused; crash risk,3al mafra2; 2oddem l school; 3al tari2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; ISF,public agency depends on asset and location,traffic regulation and road ownership,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ishara l stop maf2oude; law7a l tari2 maksoora; sign l mafra2 ma byin2ara,seed
CFS-0057,ROADS,dangerous_intersection,dangerous intersection without calming,mafra2; ishara; speed bump,khatir; bala ishara; sayarat sari3a,unknown; citizen-observed failure,missing signage; high speed,near misses; pedestrian risk,3al mafra2; 2oddem l madrase; bel 7ay,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; ISF,public agency depends on asset and location,traffic engineering vs enforcement,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l mafra2 khatir w bala ishara; sayarat sari3a 2oddem l madrase; badna speed bump 7ad l school,seed
CFS-0058,ROADS,mud_or_rocks_blocking_road,mud/rocks blocking road,tein; 7jar; tari2,msakrin; nazlin; khatir,unknown; citizen-observed failure,rain; hillside; construction,cars cannot pass; skid risk,3al tari2 l jabal; 7ad l warsha; 3al share3,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CD,public agency depends on asset and location,landslide hazard and road owner,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi 7jar 3al tari2 men ba3d l shita; tein msakkar l share3; l tari2 m3abbeye 7jar w l sayarat ma 3am temro2,seed
CFS-0059,ROADS,road_marking_or_crosswalk,faded crossing or markings,khoutout; zebracrossing; tari2,madriye; ma byinshaf; maf2oude,unknown; citizen-observed failure,old paint; road works,pedestrians unsafe; school crossing unclear,2oddem l school; 3al mafra2; 7ad l baladiye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT,public agency depends on asset and location,road class,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,khoutout l zebracrossing madriye; ma byinshaf l crossing 2oddem l madrase; khoutout l tari2 maf2oude,seed
CFS-0060,ROADS,speed_bump_issue,dangerous or missing speed bump,matab; speed bump; tari2,maksour; 3ale ktir; maf2oud,unknown; citizen-observed failure,bad installation; school zone need,car damage; speeding cars,2oddem l school; bel 7ay; 3al tari2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT,public agency depends on asset and location,traffic calming approval and road owner,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l matab maksour w 3am ydarreb l sayarat; badna matab 2oddem l madrase; speed bump 3ale ktir w khatir,seed
CFS-0061,ROADS,bridge_or_tunnel_damage,bridge/tunnel road damage,jisr; tunnel; tari2,mkassar; may 3am tfout; cracks,unknown; citizen-observed failure,water infiltration; structural issue,high risk; traffic impact,ta7t l jisr; 3al tunnel; fo2 l jisr,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MPWT; CDR; MUN; CD,public agency depends on asset and location,major asset owner and structural risk,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi cracks 3al jisr; tunnel m3abba may w zefet mkassar; ta7t l jisr fi 7jar nazle,strong
CFS-0062,ROADS,road_works_left_open,open trench after works,7afriye; trench; warsha,mfatou7a; bala ishara; ma tsakkaret,unknown; citizen-observed failure,utility works; road repair,fall/vehicle risk; dust,2oddem l bineye; 3al rasif; 3al tari2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CDR; UNKNOWN,public agency depends on asset and location,contractor/utility/project owner,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,7afriye mfatou7a bala ishara; warsha taraket l tari2 m7affar; trench 2oddem l bineye khatir bel leil,seed
CFS-0063,ROADS,water_or_oil_on_road,slippery road contamination,tari2; zayt; may; diesel,zali2a; masboube; khatira,unknown; citizen-observed failure,spill; leak; rain,skid/crash risk,3al mafra2; 7ad l station; 3al tari2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; ISF; CD; MPWT,public agency depends on asset and location,hazmat/safety vs road cleanup,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi zayt 3al tari2 w l sayarat 3am tezla2; diesel masboub 7ad l station; may w zayt 3al mafra2 khatir,seed
CFS-0064,ROADS,access_road_to_public_facility,public facility access road damaged,madkhal; tari2; dispensary; school,mkassar; msakkar; ghare2,unknown; citizen-observed failure,road damage; poor drainage,blocks access to school/clinic,2oddem l dispensary; 7ad l madrase; madkhal l baladiye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT,public agency depends on asset and location,facility owner and road owner,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,tari2 l dispensary mkassra; madkhal l madrase ma byin3amal men l 7afar; l tari2 2oddem l baladiye badha zefet,seed
CFS-0065,WASTE,garbage_not_collected,trash not collected for days,zbele; akyas; container,ma lammo; metrakme; ba2ela iyem,unknown; citizen-observed failure,missed collection; strike; route gap,bad smell; animals; blocked sidewalk,2oddem l bineye; 7ad l school; 3al rasif,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,agency/jurisdiction unclear; public vs private boundary,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l zbele ma lammo men tlet iyem; akyas zbele metrakme 2oddem l bineye; ma 7ada 3am yshil l zbele bel 7ay,strong
CFS-0066,WASTE,overflowing_bin,container overflowing,container; 7awiye; 2lebe,m3abba; fayda; akyas 3al ard,unknown; citizen-observed failure,collection delayed; too small container,smell; pests; sidewalk blocked,2oddem l bineye; 7ad l dekken; 2oddem l madrase,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,agency/jurisdiction unclear; public vs private boundary,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l container m3abba w l akyas 3al ard; 7awiye zbele fayda 3al tari2; 2lebe m3abbeye w fi ri7a,strong
CFS-0067,WASTE,damaged_bin,broken garbage bin,container; 7awiye; ghata; wheel,maksour; bala ghata; ma byetsakkar,unknown; citizen-observed failure,old bin; vandalism; truck damage,trash spills; smell; animals,3al rasif; 2oddem l pharmacy; 7ad l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,agency/jurisdiction unclear; public vs private boundary,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ghata l 7awiye maksour; container zbele ma byetsakkar; 2lebe maksoura w l zbele 3al ard,strong
CFS-0068,WASTE,illegal_dump,illegal dumping on vacant lot,radm; zbele; 2ared fadiye; rubble,marmi; mekabb; metrakem,unknown; citizen-observed failure,illegal dumping; construction debris,health risk; blocks road; visual pollution,bi 2ared fadiye; 7ad l nahr; wara l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE; CDR,public agency depends on asset and location,municipal cleanup vs environmental violation,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi radm marmi bi 2ared fadiye; 7ada keb zbele wara l bineye; construction waste metrakem 7ad l tari2,strong
CFS-0069,WASTE,burning_waste,trash being burned,zbele; 7ar2; dkhane,3am ten7ara2; dkhane ktire; ri7a khayse,unknown; citizen-observed failure,illegal burning; collection backlog,smoke; public health; fire risk,2oddem l bineye; 7ad l school; bel 7ay,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE; CD,public agency depends on asset and location,active fire and environmental violation,private-only issue; unrelated app/file/password/order context,GPS; smoke/fire active flag; image,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi 7ar2 zbele 7ad l bineye; zbele 3am ten7ara2 w dkhane 3al byout; ri7et 7ar2 zbele khan2etna,strong
CFS-0070,WASTE,trash_blocking_road,trash blocking street or sidewalk,zbele; akyas; container; tari2,msakra; 3al tari2; 3al rasif,unknown; citizen-observed failure,overflow; illegal dumping,pedestrians/cars blocked,3al rasif; 3al share3; 2oddem l madkhal,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; ISF,public agency depends on asset and location,collection vs obstruction enforcement,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,zbele msakra l rasif; akyas zbele 3al tari2 w l sayarat 3am tfel; container m7att bel nos w msakkar l madkhal,seed
CFS-0071,WASTE,waste_near_school,waste near school or clinic,zbele; container; school; dispensary,metrakme; ri7a; animals,unknown; citizen-observed failure,missed collection; bad container placement,children exposed; health concern,2oddem l madrase; 7ad l dispensary; 3al madkhal,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE,public agency depends on asset and location,public health priority,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,zbele metrakme 2oddem l madrase; container 7ad l school ri7to khayse; akyas zbele 3al madkhal w l wled 3am yemro2o,seed
CFS-0072,WASTE,dead_animals_public_space,dead animal in public area,hayawan; bis; kalb; tari2,meyyet; ri7a; 3al tari2,unknown; citizen-observed failure,roadkill; neglect,smell; public health; distress,3al tari2; 7ad l container; bel park,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE,public agency depends on asset and location,animal control/public health,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi kalb meyyet 3al tari2; bis meyyet 7ad l container w fi ri7a; hayawan meyyet bel park badna yshilou,seed
CFS-0073,WASTE,medical_or_hazardous_waste,medical or hazardous waste dumped,nfayat tibbiye; syringes; chemical; zbele,marmiye; makshoufe; khatira,unknown; citizen-observed failure,illegal dumping; clinic waste,public health hazard,7ad l container; 2oddem l clinic; 3al rasif,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE; CD,public agency depends on asset and location,hazardous waste and enforcement,private-only issue; unrelated app/file/password/order context,GPS; image; do-not-touch warning,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi nfayat tibbiye marmiye 7ad l zbele; syringes 3al rasif; chemical waste makshouf 2oddem l bineye,edge_case
CFS-0074,WASTE,collection_truck_damage,collection caused spill/damage,kamyon zbele; container; road,kabb; kasar; tarak akyas,unknown; citizen-observed failure,bad collection; truck damage,trash scattered; bin broken,2oddem l bineye; bel 7ay; 3al share3,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,contractor performance,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,kamyon l zbele kasar l container; l fer2a lammet w taraket akyas; ba3d l pickup l zbele ba3da 3al ard,seed
CFS-0075,WASTE,street_sweeping_needed,street litter and sweeping missed,wra2; plastic; rasif; share3,metrakem; ma tna2af; mwasakh,unknown; citizen-observed failure,missed sweeping; market waste,dirty public space; drains clog,bel sou2; 3al rasif; 7ad l baladiye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,agency/jurisdiction unclear; public vs private boundary,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l share3 mwasakh w ma 7ada na2af; wra2 w plastic 3al rasif; badna tansif bel sou2 ba3d l 3atle,needs_expansion
CFS-0076,WASTE,bin_location_problem,container placed dangerously,container; 7awiye; madkhal; tari2,bnos l tari2; 7ajbe l nazar; 2aribe 3al madkhal,unknown; citizen-observed failure,bad placement; moved by residents,traffic/pedestrian hazard; smell at entrance,3al mafra2; 2oddem l bineye; 7ad l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; ISF,public agency depends on asset and location,placement policy vs illegal movement,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,container l zbele bnos l tari2; 7awiye 7ajbe l nazar 3al mafra2; container 2arib ktir 3al madkhal w ri7to khayse,seed
CFS-0077,WASTE,green_waste_or_tree_debris,tree debris not collected,aghssan; wra2; shajra; zbele,metrakme; msakra l rasif; ba3d l 2ass,unknown; citizen-observed failure,municipal trimming; storm,sidewalk blocked; drains clog,3al rasif; 7ad l park; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,waste collection vs tree maintenance,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,aghssan metrakme 3al rasif; ba3d ma 2asso l shajra tarako l wra2; shajra w zbele msakrin l balou3a,seed
CFS-0078,WASTE,market_waste_after_closing,market waste left overnight,sou2; akyas; food waste; container,metrakem; ri7a; attracts animals,unknown; citizen-observed failure,market activity; late collection,bad smell; pests; blocked sidewalk,bel sou2; 7ad l dekken; 3al rasif,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,business enforcement vs collection route,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ba3d l sou2 l zbele metrakme; akyas l dekken 3al rasif kel leil; ri7et zbele bel sou2 ma btin7amal,seed
CFS-0079,WASTE,construction_debris_small,small construction debris in street,radm; 7jar; bags; zbele,marmi; msakkar l rasif; ghbar,unknown; citizen-observed failure,renovation; illegal dumping,sidewalk/road hazard,2oddem l bineye; 3al rasif; 7ad l warsha,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE,public agency depends on asset and location,private contractor violation,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi radm marmi 3al rasif; 7jar men warsha msakrin l madkhal; bags construction waste 2oddem l bineye,seed
CFS-0080,TELECOM,internet_outage,Ogero fixed internet outage,internet; net; DSL; Ogero,2ate3; ma fi net; line dead,unknown; citizen-observed failure,Ogero line fault; exchange issue,work/study interrupted; neighborhood affected,bel bayt; bel 7ay; 3al khat,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO,Ogero fixed line,fixed Ogero vs private ISP/router,private wifi password; phone data; app issue,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ma fi net Ogero men embare7; l internet 2ate3 bel 7ay kello; DSL ma 3am yeshteghil w 1515 ma raddo,strong
CFS-0081,TELECOM,slow_internet,very slow Ogero connection,internet; DSL; khat; speed,bati2 ktir; ma byefta7; packet loss,unknown; citizen-observed failure,line fault; congestion; internal wiring,cannot work; video calls fail,bel bayt; bel 7ay; 3al khat,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO; UNKNOWN,public agency depends on asset and location,Ogero line vs ISP/router/device,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l net Ogero bati2 ktir; l internet ma 3am yefta7 shi; speed l DSL nazle ktir men tlet iyem,seed
CFS-0082,TELECOM,intermittent_internet,internet cutting repeatedly,net; internet; DSL; router,3am y2atte3; byerja3 w byerou7; unstable,unknown; citizen-observed failure,line noise; cabinet fault; router issue,calls fail; remote work affected,bel bayt; bel 7ay; 3al khat,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO; UNKNOWN,public agency depends on asset and location,public line vs private router,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l net 3am y2atte3 kel shway; internet byerja3 w byerou7; Ogero line unstable men tlet iyem,seed
CFS-0083,TELECOM,landline_dead,landline has no tone,telephone; landline; khat; Ogero,mayyet; ma fi tone; 2ate3,unknown; citizen-observed failure,line cut; cabinet fault,cannot call; internet may be down,bel bayt; bel 7ay; 3al khat,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO,public agency depends on asset and location,fixed line account vs building wiring,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l telephone mayyet ma fi tone; khat Ogero 2ate3; landline ma 3am yeshteghil men embare7,seed
CFS-0084,TELECOM,fiber_cut,fiber line cut,fiber; cable; khat; Ogero,ma2tou3; makshouf; nazil,unknown; citizen-observed failure,road works; storm; accidental cut,neighborhood internet outage,3al 3amoud; 3al tari2; 7ad l cabinet,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO; MUN; MPWT,public agency depends on asset and location,telecom asset and road works owner,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fiber ma2tou3 3al 3amoud; cable l fiber nazil 3al tari2; ba3d l warsha l fiber 2ate3,seed
