workflow_id,complaint_type_id,complaint_type,intake_stage,triage_stage,referral_stage,field_remediation_stage,closure_criteria,official_sla_policy,deadline_policy,source_ids,confidence,status,last_verified
WF-049,CT-ENV-003,river_or_stream_pollution,"Capture source, exact location, type of pollution, photos, health/safety indicators.",Local nuisance vs industrial/hazardous/regulatory issue; public-health gate.,Municipality for local nuisance; MoE/regulators for industrial/hazardous; ISF/Civil Defense if immediate danger.,"Inspection, sampling if relevant, enforcement/referral, cleanup order.",Close only with inspection result/cleanup/order/resolution evidence.,No default SLA.,No deadline without official process source.,SRC-MOE-SWM-POLICY,medium,seed_workflow,2026-05-29
WF-050,CT-ENV-004,quarry_or_crusher_issue,"Capture source, exact location, type of pollution, photos, health/safety indicators.",Local nuisance vs industrial/hazardous/regulatory issue; public-health gate.,Municipality for local nuisance; MoE/regulators for industrial/hazardous; ISF/Civil Defense if immediate danger.,"Inspection, sampling if relevant, enforcement/referral, cleanup order.",Close only with inspection result/cleanup/order/resolution evidence.,No default SLA.,No deadline without official process source.,SRC-MOE-SWM-POLICY;SRC-MOEW-DGO;SRC-MUNI-AUTONOMY-HANDBOOK,medium,seed_workflow,2026-05-29
WF-051,CT-ADMIN-001,municipality_not_responding,"Capture entity complained about, prior attempts, request ID/form ID, evidence, privacy check.",Service-status inquiry vs misconduct/corruption/non-response escalation.,Original entity first for service status; Central Inspection for oversight/administrative complaint; DGLAC only for DGLAC forms/municipal administration context.,"Review request/complaint, inspect or advise, refer to competent authority.",Close after response/status/inspection/referral evidence.,Only use formal complaint-system deadlines if source-backed.,No invented deadlines.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-052,CT-ADMIN-002,public_body_corruption_or_misconduct,"Capture entity complained about, prior attempts, request ID/form ID, evidence, privacy check.",Service-status inquiry vs misconduct/corruption/non-response escalation.,Original entity first for service status; Central Inspection for oversight/administrative complaint; DGLAC only for DGLAC forms/municipal administration context.,"Review request/complaint, inspect or advise, refer to competent authority.",Close after response/status/inspection/referral evidence.,Only use formal complaint-system deadlines if source-backed.,No invented deadlines.,SRC-CIB-MANDATE;SRC-CIB-ROLE,medium,seed_workflow,2026-05-29
WF-053,CT-ADMIN-003,service_request_status,"Capture entity complained about, prior attempts, request ID/form ID, evidence, privacy check.",Service-status inquiry vs misconduct/corruption/non-response escalation.,Original entity first for service status; Central Inspection for oversight/administrative complaint; DGLAC only for DGLAC forms/municipal administration context.,"Review request/complaint, inspect or advise, refer to competent authority.",Close after response/status/inspection/referral evidence.,Only use formal complaint-system deadlines if source-backed.,No invented deadlines.,SRC-DGLAC-MUNI-DIR;SRC-DGLAC-HOME,medium,seed_workflow,2026-05-29
WF-054,CT-ADMIN-004,complaint_against_public_administration,"Capture entity complained about, prior attempts, request ID/form ID, evidence, privacy check.",Service-status inquiry vs misconduct/corruption/non-response escalation.,Original entity first for service status; Central Inspection for oversight/administrative complaint; DGLAC only for DGLAC forms/municipal administration context.,"Review request/complaint, inspect or advise, refer to competent authority.",Close after response/status/inspection/referral evidence.,Only use formal complaint-system deadlines if source-backed.,No invented deadlines.,SRC-CIB-MANDATE;SRC-CIB-ROLE,medium,seed_workflow,2026-05-29
WF-055,CT-PROJ-001,active_public_works_complaint,"Capture project name, contractor signs, location, asset owner clues, safety concern.",Municipal project vs MPWT road vs CDR/water/sewage project vs private construction.,Route to verified project owner; HITL until project source confirms owner.,"Inspection, contractor correction, safety controls, repair/cleanup.",Close after project owner action or documented referral.,Project-specific only.,No deadline unless project/contract source states it.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-056,CT-PROJ-002,cdr_project_complaint,"Capture project name, contractor signs, location, asset owner clues, safety concern.",Municipal project vs MPWT road vs CDR/water/sewage project vs private construction.,Route to verified project owner; HITL until project source confirms owner.,"Inspection, contractor correction, safety controls, repair/cleanup.",Close after project owner action or documented referral.,Project-specific only.,No deadline unless project/contract source states it.,SRC-CDR-HOME,medium,seed_workflow,2026-05-29
WF-057,CT-PROJ-003,roadwork_no_safety_barrier,"Capture project name, contractor signs, location, asset owner clues, safety concern.",Municipal project vs MPWT road vs CDR/water/sewage project vs private construction.,Route to verified project owner; HITL until project source confirms owner.,"Inspection, contractor correction, safety controls, repair/cleanup.",Close after project owner action or documented referral.,Project-specific only.,No deadline unless project/contract source states it.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-058,CT-AMBIG-001,complaint_missing_location,Ask for missing municipality/exact location and clear issue type.,Do not infer responsible entity from vague text.,HITL/clarification first.,None until clarified.,Case becomes routeable only after enough facts.,None.,None.,SRC-DGLAC-MUNI-DIR,medium,seed_workflow,2026-05-29
WF-059,CT-AMBIG-002,complaint_missing_domain,Ask for missing municipality/exact location and clear issue type.,Do not infer responsible entity from vague text.,HITL/clarification first.,None until clarified.,Case becomes routeable only after enough facts.,None.,None.,SRC-DGLAC-MUNI-DIR,medium,seed_workflow,2026-05-29
