term_id,canonical_arabizi,variants,arabic_lebanese,english_meaning,language_role,sector_hint,issue_hint,asset_type,source,confidence,complaint_use,context_required,negative_constraints,example_contexts,review_status
CFL-00667,kahraba 3am trou7 w terja3,kahraba 3am trou7 w terja3,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,3ajil kahraba 3am trou7 w terja3 3enna sar hal shi kel yom men emes w ma 7ada 3am yrud; 3ajil kahraba 3am trou7 w terja3 bel 7ay 3am t7ro2 l aghrad men emes baddna 7al sari3; 3ajil kahraba 3am trou7 w terja3 bel 7ay 3am t7ro2 l aghrad men tlet iyem khabrou l baladiye; 3ajil kahraba 3am trou7 w terja3 bel 7ay 3am t7ro2 l aghrad sar ma3na kaza yom ma ba2a yn7amal; 3ajil kahraba 3am trou7 w terja3 bel bayt mne7tej fa7s men l sobo7 ma ba2a yn7amal; 3ajil kahraba 3am trou7 w terja3 bel bineye l appliances 3am tit2azza men 2sbou3 w ma 7ada 3am yrud,needs_inventory_mapping
CFL-00668,kahraba aam t2atte3,kahraba aam t2atte3,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,3an jad fi kahraba aam t2atte3 bel 7ay. sar hal shi kel yom baddna 7al sari3!; 3an jad kahraba aam t2atte3 bel 7ay l aam mne7tej fa7s w ma 7ada aam yrud; 3enna bel 7ay kahraba aam t2atte3 w aam t7ro2 l aghrad men emes; bel bayt kahraba aam t2atte3 w l appliances aam tit2azza men emes; halla2 kahraba aam t2atte3 bel 7ay w l appliances aam tit2azza plz; kahraba aam t2atte3 bel 7ay bel leil w sar hal shi kel yom ya3ne plz,needs_inventory_mapping
CFL-00669,kahraba aam trou7 w terja3,kahraba aam trou7 w terja3,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,"3an jad bel bayt fi kahraba aam trou7 w terja3, mne7tej fa7s, kel yom; kahraba aam trou7 w terja3 3enna bel 7ay bel leil w aam t7ro2 l aghrad! ya3ne; kahraba aam trou7 w terja3 3enna bel 7ay sar ma3na kaza yom; kahraba aam trou7 w terja3 bel bayt men emes w sar hal shi kel yom!; kahraba aam trou7 w terja3 bel bineye hala2 w sar hal shi kel yom?; kahraba aam trou7 w terja3 bi l manti2a bel leil w sar hal shi kel yom w 7ada yrd?",needs_inventory_mapping
CFL-00670,kahrabe 3am t2atte3,kahrabe 3am t2atte3,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,"3ajil kahrabe 3am t2atte3 bel 7ay mne7tej fa7s men l sobo7; 3am t7ro2 l aghrad mish ma32oul ydal hek ya3ne; 3an jad kahrabe 3am t2atte3 bel 7ay sar hal shi kel yom ma ba2a yn7amal ya3ne; 3an jad kahrabe 3am t2atte3 bi l manti2a w mne7tej fa7s; baddna nballigh 3an kahrabe 3am t2atte3 3enna bel 7ay. mne7tej fa7s baddna 7al sari3!; ballegh 3an kahrabe 3am t2atte3 bel bayt men tlet iyem, mne7tej fa7s",needs_inventory_mapping
CFL-00671,kahrabe 3am trou7 w terja3,kahrabe 3am trou7 w terja3,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,3enna bel 7ay kahrabe 3am trou7 w terja3 w l appliances 3am tit2azza men 2sbou3; baddna nballigh 3an kahrabe 3am trou7 w terja3 bel 7ay. 3am t7ro2 l aghrad ma ba2a yn7amal!; kahrabe 3am trou7 w terja3 bel 7ay sar ma3na kaza yom w sar hal shi kel yom ma ba2a fina; kahrabe 3am trou7 w terja3 bel bayt hala2 w sar hal shi kel yom?!; kahrabe 3am trou7 w terja3 bi l manti2a men 2sbou3; ma 7ada 3am yshouf kahrabe 3am trou7 w terja3 bel bineye. 3am t7ro2 l aghrad badha kashf 3ajil,needs_inventory_mapping
CFL-00672,kahrabe aam trou7 w terja3,kahrabe aam trou7 w terja3,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,kahrabe aam trou7 w terja3 bel 7ay ba3d l matar w l appliances aam tit2azza!,needs_inventory_mapping
CFL-00673,l volt 3am yitghayar,l volt 3am yitghayar,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,3ajil l volt 3am yitghayar 3al khat l appliances 3am tit2azza kel yom khabrou l baladiye; 3ajil l volt 3am yitghayar 3enna bel 7ay l appliances 3am tit2azza sar ma3na kaza yom; 3ajil l volt 3am yitghayar 3enna bel 7ay mne7tej fa7s men emes khabrou l baladiye; 3ajil l volt 3am yitghayar bel 7ay 3am t7ro2 l aghrad sar ma3na kaza yom badha kashf 3ajil; 3ajil l volt 3am yitghayar bel 7ay l appliances 3am tit2azza men emes khabrou l baladiye; 3ajil l volt 3am yitghayar bel 7ay mne7tej fa7s men emes w ma 7ada 3am yrud,needs_inventory_mapping
CFL-00674,l volt aam yitghayar,l volt aam yitghayar,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,"3an jad l volt aam yitghayar bel 7ay sar hal shi kel yom mish ma32oul ydal hek; 3enna l volt aam yitghayar bel 7ay hala2 mne7tej fa7s khabrou l baladiye; 3enna l volt aam yitghayar bel 7ay. mne7tej fa7s; baddna nballigh: l volt aam yitghayar bel 7ay, mne7tej fa7s ma ba2a yn7amal; halla2 l volt aam yitghayar bel 7ay l appliances aam tit2azza khabrou l baladiye ya3ne; halla2 l volt aam yitghayar bel bineye sar hal shi kel yom badha kashf 3ajil?",needs_inventory_mapping
CFL-00675,tazabzob bel kahraba,tazabzob bel kahraba,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,3ajil tazabzob bel kahraba 3enna bel 7ay mne7tej fa7s bel leil please 7ada yshouf; 3ajil tazabzob bel kahraba bel 7ay mne7tej fa7s hala2 baddna 7al sari3; 3ajil tazabzob bel kahraba bel 7ay sar hal shi kel yom ba3d l matar ma ba2a yn7amal; 3ajil tazabzob bel kahraba bel 7ay sar hal shi kel yom men l sobo7 w ma 7ada 3am yrud; 3ajil tazabzob bel kahraba bel bineye l appliances 3am tit2azza ba3d l matar w ma 7ada 3am yrud; 3ajil tazabzob bel kahraba bi l manti2a l appliances 3am tit2azza men 2sbou3,needs_inventory_mapping
CFL-00676,tazabzob bel kahrabe,tazabzob bel kahrabe,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,"3ajil tazabzob bel kahrabe 3enna bel 7ay l appliances 3am tit2azza kel yom ma ba2a yn7amal; 3an jad tazabzob bel kahrabe bel bayt w sar hal shi kel yom ya3ne; baddna nballigh: tazabzob bel kahrabe bel 7ay, l appliances 3am tit2azza please 7ada yshouf; l appliances 3am tit2azza khabrou l baladiye; law sama7to fi tazabzob bel kahrabe bel 7ay. l appliances 3am tit2azza baddna 7al sari3; lek bel manti2a tazabzob bel kahrabe bel 7ay",needs_inventory_mapping
CFL-00677,volt,volt,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,3ajil l volt 3am yitghayar 3al khat l appliances 3am tit2azza kel yom khabrou l baladiye; 3ajil l volt 3am yitghayar 3enna bel 7ay l appliances 3am tit2azza sar ma3na kaza yom; 3ajil l volt 3am yitghayar 3enna bel 7ay mne7tej fa7s men emes khabrou l baladiye; 3ajil l volt 3am yitghayar bel 7ay 3am t7ro2 l aghrad sar ma3na kaza yom badha kashf 3ajil; 3ajil l volt 3am yitghayar bel 7ay l appliances 3am tit2azza men emes khabrou l baladiye; 3ajil l volt 3am yitghayar bel 7ay mne7tej fa7s men emes w ma 7ada 3am yrud,needs_inventory_mapping
CFL-00678,volt na2es,volt na2es,,,corpus_evidence_term,ELECTRICITY,voltage_fluctuation,,v29_model_corpus_evidence_terms,high,audit_seed,FALSE,verify against scenario inventory before generation,3ajil volt na2es 3enna bel 7ay mne7tej fa7s sar ma3na kaza yom ma ba2a yn7amal; 3ajil volt na2es 3enna l appliances 3am tit2azza sar ma3na kaza yom khabrou l baladiye; 3ajil volt na2es 3enna mne7tej fa7s kel yom please 7ada yshouf; 3ajil volt na2es bel 7ay l appliances 3am tit2azza bel leil; 3ajil volt na2es bel 7ay l appliances 3am tit2azza men emes ma ba2a yn7amal; 3ajil volt na2es bel 7ay mne7tej fa7s bel leil badha kashf 3ajil,needs_inventory_mapping
CFL-00679,3am t2atte3,3am t2atte3,,,failure_mode,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00680,daw byerja3 w byerou7,daw byerja3 w byerou7,,,failure_mode,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00681,tazabzob,tazabzob,,,failure_mode,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00682,private-only issue without public asset,private-only issue without public asset,,,forbidden_combination,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00683,unrelated app/file/password context,unrelated app/file/password context,,,forbidden_combination,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00684,private-only issue,private-only issue,,,hard_negative_near_miss,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,TRUE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00685,unrelated app/file/password/order context,unrelated app/file/password/order context,,,hard_negative_near_miss,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,TRUE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00686,private generator voltage vs EDL voltage,private generator voltage vs EDL voltage,,,hitl_trigger,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,TRUE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00687,appliances burning,appliances burning,,,impact,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00688,unsafe for residents,unsafe for residents,,,impact,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00689,3al khat,3al khat,,,location_pattern,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00690,bel 7ay,bel 7ay,,,location_pattern,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00691,bi l bineye,bi l bineye,,,location_pattern,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00692,GPS,GPS,,,required_evidence,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00693,image,image,,,required_evidence,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00694,time observed,time observed,,,required_evidence,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00695,EDL feeder,EDL feeder,,,responsible_party_hint,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00696,local distributor,local distributor,,,responsible_party_hint,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00697,daw 3am y2alleb,daw 3am y2alleb,,,state,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00698,voltage tali3 nezil,voltage tali3 nezil,,,state,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00699,kel yom,kel yom,,,time_expression,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00700,men embare7,men embare7,,,time_expression,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00701,men tlet iyem,men tlet iyem,,,time_expression,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00702,3ajil,3ajil,,,urgency_expression,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00703,khatir,khatir,,,urgency_expression,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00704,ma byin7amal,ma byin7amal,,,urgency_expression,ELECTRICITY,voltage_fluctuation,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFL-00705,CD,CD,,,agency_hint,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00706,MOE,MOE,,,agency_hint,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00707,MUN,MUN,,,agency_hint,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00708,dkhane,dkhane,,,asset,ENVIRONMENT,air_pollution_smoke,dkhane; ri7a; factory; zbele,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00709,factory,factory,,,asset,ENVIRONMENT,air_pollution_smoke,dkhane; ri7a; factory; zbele,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00710,ri7a,ri7a,,,asset,ENVIRONMENT,air_pollution_smoke,dkhane; ri7a; factory; zbele,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00711,zbele,zbele,,,asset,ENVIRONMENT,air_pollution_smoke,dkhane; ri7a; factory; zbele,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00712,citizen-observed failure,citizen-observed failure,,,cause,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00713,unknown,unknown,,,cause,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00714,3am yotla3,3am yotla3,,,failure_mode,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00715,khan2a,khan2a,,,failure_mode,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00716,ri7a 2awye,ri7a 2awye,,,failure_mode,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00717,private-only issue without public asset,private-only issue without public asset,,,forbidden_combination,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00718,unrelated app/file/password context,unrelated app/file/password context,,,forbidden_combination,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00719,private-only issue,private-only issue,,,hard_negative_near_miss,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,TRUE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00720,unrelated app/file/password/order context,unrelated app/file/password/order context,,,hard_negative_near_miss,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,TRUE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00721,source/severity unclear,source/severity unclear,,,hitl_trigger,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,TRUE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00722,breathing problems,breathing problems,,,impact,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00723,public nuisance,public nuisance,,,impact,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00724,2oddem l bineye,2oddem l bineye,,,location_pattern,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00725,7ad l factory,7ad l factory,,,location_pattern,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00726,bel 7ay,bel 7ay,,,location_pattern,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00727,GPS,GPS,,,required_evidence,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00728,image,image,,,required_evidence,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00729,time observed,time observed,,,required_evidence,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00730,public agency depends on asset and location,public agency depends on asset and location,,,responsible_party_hint,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00731,burning waste,burning waste,,,state,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00732,factory,factory,,,state,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00733,generator,generator,,,state,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00734,kel yom,kel yom,,,time_expression,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00735,men embare7,men embare7,,,time_expression,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00736,men tlet iyem,men tlet iyem,,,time_expression,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00737,3ajil,3ajil,,,urgency_expression,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00738,khatir,khatir,,,urgency_expression,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00739,ma byin7amal,ma byin7amal,,,urgency_expression,ENVIRONMENT,air_pollution_smoke,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFL-00740,MUN,MUN,,,agency_hint,ENVIRONMENT,animal_waste_public_space,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,wasekh hayawanat bel park; rasif 2oddem l school mwasakh; fi ri7a w wasekh 7ad l playground,seed
CFL-00741,animals,animals,,,asset,ENVIRONMENT,animal_waste_public_space,wasekh; park; rasif; animals,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,wasekh hayawanat bel park; rasif 2oddem l school mwasakh; fi ri7a w wasekh 7ad l playground,seed
CFL-00742,park,park,,,asset,ENVIRONMENT,animal_waste_public_space,wasekh; park; rasif; animals,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,wasekh hayawanat bel park; rasif 2oddem l school mwasakh; fi ri7a w wasekh 7ad l playground,seed
