rule_id,complaint_type_id,complaint_type,condition,primary_entity_selector,secondary_entity_selector,hitl_required,hitl_reason,false_positive_risk,evidence_required_for_production,source_ids,confidence,status,last_verified,entity_id_canonical
RR-056,CT-PROJ-002,cdr_project_complaint,Specific verified project is CDR-owned/managed or source names CDR as project actor.,CDR,MUN_DYNAMIC/MPWT/WE depending asset owner; HITL until project source verified.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-CDR-HOME,medium,seed_rule,2026-05-29,CDR
RR-057,CT-PROJ-003,roadwork_no_safety_barrier,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_rule,2026-05-29,MUN
RR-058,CT-AMBIG-001,complaint_missing_location,"Route only after extracting complaint type, location and responsible-sector evidence.",HITL_LOCATION_REQUIRED,HITL if missing location/domain or if entity boundary is ambiguous.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-DGLAC-MUNI-DIR,medium,seed_rule,2026-05-29,HITL
RR-059,CT-AMBIG-002,complaint_missing_domain,"Route only after extracting complaint type, location and responsible-sector evidence.",HITL_CLARIFICATION_REQUIRED,HITL if missing location/domain or if entity boundary is ambiguous.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-DGLAC-MUNI-DIR,medium,seed_rule,2026-05-29,HITL
RR-GATE-001,any,any,"Emergency/life-safety language present: fire, collapse risk, sparking wires, active flood danger, injury, threat.",CIVIL_DEFENSE_OR_ISF_FIRST,Routine entity after emergency only,true,Immediate safety overrides normal civic routing.,high_if_override_not_applied,source-backed override; exact location if safety-relevant,SRC-CIVILDEF-UNDP-2026;SRC-ISF-STRATEGIC,medium,global_gate,2026-05-29,CD_ISF
RR-GATE-002,any,any,Location missing or only 'Lebanon'/'near me' without municipality/exact asset.,HITL_LOCATION_REQUIRED,Ask for municipality/exact location,true,Cannot map municipality/water establishment/road class safely.,high_if_override_not_applied,source-backed override; exact location if safety-relevant,SRC-DGLAC-MUNI-DIR,medium,global_gate,2026-05-29,HITL
RR-GATE-003,any,any,Complaint requests a deadline but no official SLA source exists.,NO_SLA_HALLUCINATION,Return process stage + observed timelines only if evidence exists,false,Prevent deadline hallucination.,high_if_override_not_applied,source-backed override; exact location if safety-relevant,,medium,global_gate,2026-05-29,GATE_NO_SLA
RR-GATE-004,street_light_out,street_light_out,Streetlight complaint mentions bulb/lamp/daw fixture without sparking wire.,MUN_DYNAMIC,EDL if pole/grid/electric hazard,false,Street lighting often municipal; electricity hazard is EDL/emergency.,high_if_override_not_applied,source-backed override; exact location if safety-relevant,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-EDL-MISSION,medium,global_gate,2026-05-29,MUN
RR-GATE-005,water_or_sewage,water_or_sewage,Water/sewage complaint is inside a private building only.,PRIVATE_PROPERTY_OR_BUILDING_MANAGEMENT,WE only for public network/meter/source issue,true,Private/public boundary; avoid wrong public routing.,high_if_override_not_applied,source-backed override; exact location if safety-relevant,SRC-BWE-ABOUT,medium,global_gate,2026-05-29,PRIVATE
RR-GATE-006,road_damage,road_damage,Road explicitly says tari2 3am / highway / bridge / coastal road / main road.,MPWT_OR_HITL_ROAD_CLASS,MUN_DYNAMIC if proven local,true,Road-class ambiguity is major wrong-agency risk.,high_if_override_not_applied,source-backed override; exact location if safety-relevant,SRC-MPWT-ROADS-BUILDINGS,medium,global_gate,2026-05-29,MPWT
RR-GATE-007,waste,waste,Waste collection routine but known union/contractor source exists.,MUN_UNION_OR_CONTRACTOR_WITH_MUN_OVERSIGHT,MUN_DYNAMIC,false,Override municipality only when source-backed.,high_if_override_not_applied,source-backed override; exact location if safety-relevant,SRC-MOE-SWM-POLICY;SRC-AUB-WASTE-GUIDE,medium,global_gate,2026-05-29,MUN_UNION
RR-GATE-008,telecom,telecom,"Complaint is mobile/signal/data package, not fixed line/internet cabinet.",MOBILE_OPERATOR_OR_TRA,OGERO only if fixed-line infrastructure,false,Avoid routing cellular issues to OGERO.,high_if_override_not_applied,source-backed override; exact location if safety-relevant,SRC-OGERO-MISSION,medium,global_gate,2026-05-29,MOBILE_OP
RR-GATE-009,electricity,electricity,Complaint mentions private generator/moteur/eshtirak.,PRIVATE_GENERATOR_OR_LOCAL_REGULATOR,EDL only if grid issue,true,Private generator not EDL by default.,high_if_override_not_applied,source-backed override; exact location if safety-relevant,SRC-EDL-MISSION,medium,global_gate,2026-05-29,PRIVATE_GEN
RR-GATE-010,admin,admin,Complaint is about municipal non-response after repeated attempts.,MUN_DYNAMIC_THEN_CENTRAL_INSPECTION_ESCALATION,MOIM/DGLAC only if channel evidence exists,true,"Oversight is escalation, not first field resolver.",high_if_override_not_applied,source-backed override; exact location if safety-relevant,SRC-CIB-ROLE;SRC-MOIM-ABOUT,medium,global_gate,2026-05-29,MUN_CI
RR-060,CT-TEL-010,mobile_billing_or_regulatory_complaint,"Consumer complaint already submitted to Alfa/Touch operator without satisfactory resolution; billing dispute, unlawful disconnection, or roaming overcharge escalation.",TRA,MOBILE_OP if first contact; HITL if dispute scope is ambiguous,false,not required; TRA handles without location,low,registered_source_id; prior operator complaint reference recommended,SRC-TRA-MANDATE,medium_high,seed_rule,2026-05-30,TRA
