id,arabizi_variant,normalized_arabizi,arabic_lebanese,english_meaning,category,part_of_speech,form_type,confidence,quality_flag,complaint_use,candidate_sector,candidate_issue,signal_strength,context_rule,hard_negative_hint,already_in_vocab,notes
2090,airport,matar,مطار,airport,transportation,noun,base_word,high,,hard_negative,ROADS,,context_support,mobility/road context; not issue-specific,"HARD_NEGATIVE:FLOODING:airport/travel term, not flooding rain",FALSE,travel location
11916,stanna 3and l arrivals,stanna 3and l arrivals,استنّى عند الأرايفلز,wait at arrivals,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11917,stana 3and el arrivals,stanna 3and l arrivals,استنّى عند الأرايفلز,wait at arrivals,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11918,we3yna mn l sobo7 3al matar,we3yna mn l sobo7 3al matar,وعينا من الصبح عالمطار,we woke up early for the airport,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11919,we3ina mn el sobo7 3al matar,we3yna mn l sobo7 3al matar,وعينا من الصبح عالمطار,we woke up early for the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11920,wein el gate,wen l gate,وين الغيت؟,where is the gate?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11921,wen l geit,wen l gate,وين الغيت؟,where is the gate?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11922,wen l gate,wen l gate,وين الغيت؟,where is the gate,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11923,wein l gate,wen l gate,وين الغيت؟,where is the gate,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11924,wen el passport,wen l passport,وين الباسبور؟,where is the passport,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11925,wen l shanta,wen l shanta,وين الشنطة؟,where is the bag?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11926,wein l shanta,wen l shanta,وين الشنطة؟,where is the bag?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11927,wselet 3al matar,wselet 3al matar,وصلت عالمطار,I arrived at the airport,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11928,wsilet 3al matar,wselet 3al matar,وصلت عالمطار,I arrived at the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11929,wsolt 3al matar,wsolt 3al matar,وصلت عالمطار,I arrived at the airport,airport,phrase,reply,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
26403,wselna 3al airport,wselna 3al airport,وصلنا عالمطار,we reached the airport,travel,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Expansion Round 5; domain phrase
30371,ba3edne bel matar,ba3edne bel matar,بعدني بالمطار,I am still at the airport,travel,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Expansion Round 6; travel/hotel phrase
30375,addesh l taxi mn l matar,addesh l taxi mn l matar,قديش التاكسي من المطار؟,how much is the taxi from the airport?,travel,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Expansion Round 6; travel/hotel phrase
30513,l taxi t2akhar 3al matar,l taxi t2akhar 3al matar,التاكسي تأخّر عالمطار,the taxi was late to the airport,travel,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Expansion Round 6; travel/tourism phrase
30927,3ande taxi men l airport,3ande taxi men l airport,عندي تاكسي من المطار,I have a taxi from the airport,travel,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Expansion Round 6; weak semantic domain
30928,baddi taxi 3al airport,baddi taxi 3al airport,بدي تاكسي عالمطار,I need a taxi to the airport,travel,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Expansion Round 6; weak semantic domain
