normalised_token,top_raw_forms,freq,distinct_tweets,civic_co_occ,civic_ratio,az_ctx_count,az_ctx_ratio,score,has_arabizi_digit,guardrailed,sample_tweet
melhem,melhem(9),9,3,1,0.333,3,1.000,19.5,0,0,@20fourMedia @hisham_melhem
poetry,poetry(12),12,12,3,0.250,3,0.250,19.5,0,0,El m3al2in 3al BeIn metel el electives bel jem3a...History Geography literature poetry...eno btetsa2
daughter,daughter(14),14,14,1,0.071,7,0.500,19.5,0,0,Naka monitor si Daddy sa isa pa niyang Daughter hehehe   HappyBirthday BabyAimi  https://t.co/1ZZ6sh
quoi,quoi(7),7,7,6,0.857,1,0.143,19.5,0,0,Je me suis réveillée à l'heure où je devais être en classe .... Je suis vraiment une fille qui a des
department,department(12),12,12,1,0.083,11,0.917,19.5,0,0,happy 83 years old a great musician man ? Quincy Jones  Producer | Music Department | Soundtrack ? h
rama,rama(9),9,6,2,0.333,6,1.000,19.5,0,0,@Rama_Qu9 ?????????????????? من لطفك ياعمري  شوي من اللي عندك??
kten71t8lg,kten71t8lg(13),13,13,0,0.000,13,1.000,19.5,1,0,@Haifaholics هيفاء وهبي النجمة العربيّة الوحيدة في أضخم معرض للمجوهرات في “تركيا”!  https://t.co/Kte
kasimf,kasimf(17),17,17,1,0.059,1,0.059,19.5,0,0,فيصل القاسم @kasimf الآن نشط في Syria https://t.co/k5pEyVyZd3
tracygabriel,tracygabriel(12),12,12,3,0.250,3,0.250,19.5,0,0,@Tracygabriel_ deep. U feel deep
dg0drpqzgh,dg0drpqzgh(18),18,18,0,0.000,3,0.167,19.5,0,0,Follow Plz?? ??https://t.co/Dg0drPqZGh #RaphaelJabbour  https://t.co/varCQrptfP #hautsdefrance  #Per
iamsancho,iamsancho(15),15,15,2,0.133,1,0.067,19.5,0,0,@Yes_IamSancho @Xaviesque @arkulari can't blame locals for the panic. can't blame refugees for runni
jolie,jolie(13),13,12,1,0.083,8,0.667,19.5,0,0,ANGELINA JOLIE IS IN LEBANON I REPEAT ANGELINA JOLIE IS IN LEBANON
j21egg9lfi,j21egg9lfi(13),13,13,0,0.000,13,1.000,19.5,1,0,#مينا_عطا #نجم بالصورة: ميّنا عطا مع نسيم رايسي والأصدقاء .. وضيف “ليلة سمر” الجمعة!  https://t.co/j
fast,fast(13),13,13,2,0.154,5,0.385,19.5,0,0,Wtf Angelina isn't in Lebanon anymore that was fast.
services,services(9),9,9,4,0.444,5,0.556,19.5,0,0,#Tajikistan police: Law enforcement services convinced ca 1 700 women to stop wearing headscarves in
siranafakhry,siranafakhry(9),9,9,4,0.444,5,0.556,19.5,0,0,@siranafakhry hahaha so what i jate juve but for italy?? for serie a??
qycamwhjg7,qycamwhjg7(13),13,13,0,0.000,13,1.000,19.5,1,0,Follow?  ?https://t.co/MzzHtf9qCQ  ?https://t.co/2iaHX2eeMz  Subscrib?  https://t.co/qyCAmwHJg7 #Rap
blasts,blasts(17),17,17,0,0.000,5,0.294,19.5,0,0,#BREAKING: Several dead in #Brussels airport blasts: #Belgian media #Belgium https://t.co/cSJq5swY9A
italianpolitics,italianpolitics(6),6,6,6,1.000,3,0.500,19.5,0,0,@ItalianPolitics Non e abbastanza ritirare la bandera quello che ha fatto lEU e pazzesco prima avran
wont,wont(14),14,13,2,0.154,2,0.154,19.4,0,0,@smolmatty BUT THATS SO CUTE MY MUM WONT EVEN ALLOW ME TO BRING A GOLD FISH INSIDE OUR HOUSE
ibtissamtiskat,ibtissamtiskat(14),14,13,1,0.077,6,0.462,19.4,0,0,@fanelarabi @IbtissBodyguard @IbtissamTiskat بنت اصل
whatever,whatever(15),15,14,1,0.071,4,0.286,19.3,0,0,Maybe it's a cruel joke on me Whatever whatever.  Just means there's way more cake for… https://t.co
tiens,tiens(8),8,6,4,0.667,1,0.167,19.3,0,0,"Non! Je ne le crois pas!! #Washington  juge que l'#EI  commet des ""génocides"" contre les #chrétiens "
text,text(11),11,10,2,0.200,7,0.700,19.2,0,0,When you get a weird ass cheesy text and you like make a screaming face
uff,ufffff(4)|uff(4)|uffffffff(1)|uffff(1)|uffffffffffffffffffffff(1),11,10,3,0.300,3,0.300,19.2,0,0,@AbbassEzz1 uffffffff lek tetzakar hay  https://t.co/NG0Kk7CeDv
besoin,besoin(6),6,5,5,1.000,2,0.400,19.2,0,0,J’ai tellement besoin d’amour de tes bras de ta voix de velours
asking,asking(11),11,10,3,0.300,3,0.300,19.2,0,0,Saw Syrian refugee mom and her two babies homeless on the streets of Beirut tonight crying and askin
jigsawfalling,jigsawfalling(8),8,5,3,0.600,2,0.400,19.2,0,0,Living in that country is the slowest way of DYING...“ Wishing you a blessed #evening! #RDM @… https
hijabsex,hijabsex(12),12,11,1,0.091,9,0.818,19.1,0,0,Hi :) ??xx ? https://t.co/8WFAJxjY8j #ckxgirl #cokegirlx #hijabsex @cokegirlx_ https://t.co/Brf6SR7o
random,random(12),12,11,3,0.273,1,0.091,19.1,0,0,Dont expect in the away game to see a superb performance just another game with boring hopeless and 
relationship,relationship(12),12,11,3,0.273,1,0.091,19.1,0,0,A great relationship is about two things: First appreciating the similarities and second respecting 
thankful,thankful(12),12,11,2,0.182,5,0.455,19.1,0,0,so thankful for having suz in my life
diba,diba(12),12,11,2,0.182,5,0.455,19.1,0,0,Hala Ate diba mamaya na yan?may contact po ba kayo sa Admin ng ToMiho Shipper Japan? https://t.co/K7
army,army(12),12,11,2,0.182,5,0.455,19.1,0,0,I'm at Madfoun Army Checkpoint https://t.co/Fp7gd4Qbve
tabaja,tabaja10(9),9,4,2,0.500,1,0.250,19.1,0,0,@tabaja10 akhol mannnn w err :p
ainda,ainda(9),9,8,4,0.500,2,0.250,19.1,0,0,tenho uma prova na terça e outra na quinta mas ainda ? estudei pra nenhuma das duas :(
indvspak,indvspak(12),12,11,1,0.091,9,0.818,19.1,0,0,#IndvsPak https://t.co/iRWyeWz1MG Follow https://t.co/C0OwqWLQQY
throw,throw(11),11,11,3,0.273,4,0.364,19.0,0,0,The moment you reach #home you throw all the negativity outside the front door and get in ??????
front,front(13),13,13,2,0.154,4,0.308,19.0,0,0,The moment you reach #home you throw all the negativity outside the front door and get in ??????
tuned,tuned(13),13,13,1,0.077,8,0.615,19.0,0,0,Stay tuned for our updates tomorrow from #girlsgotit #dbaye event #parallelstudio #introduction… htt
taste,taste(15),15,15,1,0.067,4,0.267,19.0,0,0,Bite me while I taste your fingertips ?
civil,civil(12),12,12,2,0.167,6,0.500,19.0,0,0,SPIDERMAN IN THE NEW CIVIL WAR TRAILER AH MAH GAHD
fra,fra(8),8,8,4,0.500,6,0.750,19.0,0,0,"يا رب لست أعلم ما هو أكبر ذنب لدي لكن أعلم و كلي إيمان أن رحمتك سبقت غضبك ومغفرتك سبقت عذابك,None,No"
teachers,teachers(17),17,17,0,0.000,4,0.235,19.0,0,0,Teachers celebrations are still ongoing !!! ??? مركز الارشاد والتوجيه celebrated their day today… ht
dangerous,dangerous(14),14,14,2,0.143,2,0.143,19.0,0,0,im living for the dangerous woman era I MEAN LOOK AT HER SHES SO FLAWLESS https://t.co/chfBwjIVPc
shes,shes(13),13,12,2,0.167,3,0.250,19.0,0,0,im living for the dangerous woman era I MEAN LOOK AT HER SHES SO FLAWLESS https://t.co/chfBwjIVPc
aya,aya(10),10,10,3,0.300,6,0.600,19.0,0,0,@Nour_ElHage14 @aya_hilal1 @HindRifi zakartuni b @raniacouscous
tears,tears(14),14,14,1,0.071,6,0.429,19.0,0,0,Here comes the tears
farhat,farhat(16),16,16,1,0.062,2,0.125,19.0,0,0,@hasan_farhat  ما الي غيرك شغّلني اخي الاركيتكت?
thoughts,thoughts(12),12,12,3,0.250,2,0.167,19.0,0,0,2 am thoughts : Sexting is so uncomfortable and cringe worthy
golden,golden(14),14,14,0,0.000,10,0.714,19.0,0,0,mw x5 - 2003 - $10000 - golden colour farcho aswad ndif mechye - 122571 - mawjoud be.. https://t.co/
married,married(9),9,9,4,0.444,4,0.444,19.0,0,0,@mich_h wlak skete ana ba3ed ma sada2et enik msahbe let alone getting married
abbas,abbas(13),13,13,1,0.077,8,0.615,19.0,0,0,@sherkawi_abbas بيمثل الزبالة امثالك
dia,dia(11),11,11,3,0.273,4,0.364,19.0,0,0,About last night #8eArt #Dia #MarcHatem #MarcHatemTheVoice… https://t.co/CQ48C5ID2Y
doctor,doctor(11),11,11,3,0.273,4,0.364,19.0,0,0,@Hhhsinfo Grade 4 interact with the doctor to discover more about the deseases related to the respir
cours,cours(6),6,6,6,1.000,2,0.333,19.0,0,0,Aller en cours le samedi puis à la salle et aller à un deuil juste apres hard Day
except,except(11),11,11,3,0.273,4,0.364,19.0,0,0,#Religious mafia abuses human beings in all extents and gives them nothing in return except illusion
jean,jean(11),11,11,3,0.273,4,0.364,19.0,0,0,@Jean_Nakhleh https://t.co/vImjz81hVs
knows,knows(13),13,12,2,0.167,3,0.250,19.0,0,0,He knows his place  https://t.co/ZhJncHN89U
dire,dire(6),6,6,6,1.000,2,0.333,19.0,0,0,@samy1535 tu veux dire une catastrophe pour l humanite des criminelles qui veulent soumettre les gen
wlikreef,wlikreef(14),14,14,2,0.143,2,0.143,19.0,0,0,@wlikReef @t0nksy ? https://t.co/Oes66ZF5tM
reasons,reasons(12),12,12,2,0.167,6,0.500,19.0,0,0,"@PrToujours @guardian what are the ""right reasons""? and can you be sure they are ""right"" ?"
appreciate,appreciate(16),16,16,1,0.062,2,0.125,19.0,0,0,i really appreciate family members taking time to listen to what i want instead of shoving what they
nobody,nobody(18),18,18,0,0.000,2,0.111,19.0,0,0,I hate you I love you I hate that I love you Don't want to but I can't put Nobody else above you.
kidding,kidding(12),12,12,2,0.167,6,0.500,19.0,0,0,@HedCorrea Yep there goes a IUD ha ha BOOM !!! Just kidding https://t.co/yYgyi97ScP … … https://t.co
sergi,sergi(8),8,8,4,0.500,6,0.750,19.0,0,0,Barça ASSISTS in 2016:  Su?rez 10 Leo 10 Ney 6 Arda 4 Vidal 3 Sergi Alves Adriano Alba Busquets 2 In
anw,anw(12),12,12,2,0.167,6,0.500,19.0,0,0,anw shou esmik HAHAHAHAHAAHHAHAHAHAHAHAHAHA https://t.co/TS35fXDLNH
ganda,ganda(13),13,13,1,0.077,8,0.615,19.0,0,0,@leomdf808 @EatBulaga @OFC_DjBae @AlDubBigBoyz @maiden16_BH ganda nga eh i love KS story  #MaineTheS
someday,someday(9),9,9,4,0.444,4,0.444,19.0,0,0,0/0/2016 ? someday  https://t.co/uKxR963C1q
lets,lets(13),13,13,1,0.077,8,0.615,19.0,0,0,50 more followers to 600!! Lets goo
supporting,supporting(12),12,12,2,0.167,6,0.500,19.0,0,0,@BecharaGhady @Fadingstars_  yaret kellun bi fakkro metlak !!! Stay strong you have hugee fans behin
nduta,nduta(14),14,14,0,0.000,10,0.714,19.0,0,0,@inooroke @munesh_14 #racuria @Davie_Qush @markdarcascoss @nyinabrian @lucyk737 @mwatha_bob @kuria_s
gitau,gitau(14),14,14,0,0.000,10,0.714,19.0,0,0,@inooroke @munesh_14 #racuria @Davie_Qush @markdarcascoss @nyinabrian @lucyk737 @mwatha_bob @kuria_s
tour,tour(12),12,12,2,0.167,6,0.500,19.0,0,0,"Hatetlak caption 3al soureta ""simplicity"" w hiye arta full makeup w ka3eb byaamla tour eiffel"
euro,euro(9),9,9,4,0.444,4,0.444,19.0,0,0,What Euro kit shoudl I buy: Sweden (Zlatan) Italia (Verratti) or Wales (Bale)? Zlatan's such a beaut
hassanation,hassanation(13),13,13,2,0.154,4,0.308,19.0,0,0,@hassanation @Nataly_Antar professional blogger sar captain malla mas5ara
mommy,mommy(13),13,12,1,0.083,7,0.583,19.0,0,0,Mommy &amp; Shirley !! #GrandmothersLove @ Byblos - Jbail بيبلوس/جبيل https://t.co/8tcHUmabvj
defense,defense(13),13,12,2,0.167,3,0.250,19.0,0,0,Pathetic defense
ian,ian(11),11,11,2,0.182,8,0.727,19.0,0,0,@hesham786 @Ian_Ladyman_DM TAHNK YOU THANK YOU THANK YOU THANK YOJ THANK YOU
nevnaya,nevnaya(9),9,9,4,0.444,4,0.444,19.0,0,0,@Nevnaya Well I never knew about it. It's being shared a lot since last week.
nation,nation(7),7,7,5,0.714,4,0.571,19.0,0,0,#Lebanon has an underdeveloped population although it's way more developed than the rest of #Orient 
wil,wil(6),6,6,5,0.833,6,1.000,19.0,0,0,@waelboy hahahahahaaha wil Q&amp;A 3al SnapChat w ino ysabb7o w ymasso l FANS tab3ulon ???
comments,comments(9),9,9,4,0.444,4,0.444,19.0,0,0,Mtv nazlo article 3an enu fi IG accounts la banet 3arab lesbians Bruh shuf l comments b2ra nes 3am t
88keysm,88keysm(6),6,6,5,0.833,6,1.000,19.0,1,0,@88keysM what if she was kidding??
ghaddarfatme,ghaddarfatme(13),13,13,1,0.077,8,0.615,19.0,0,0,@Ghaddarfatme @bcherawi @bassamdiabh @khotyar1 @eidfarha1 @amalfarhat64 @tarrafmajida @karmenjouni  
mashrou3leila,mashrou3leila(6),6,6,5,0.833,6,1.000,19.0,1,0,@TarekHallal @yasminebal @mashrou3leila 3ANJAAAD :'(
goaall,goaaaaaaaaaaaaaaaaaaaaaaaaaaaall(6)|goaaaaaaaaallllllllll(1)|goaaaallllllllllllllllll(1)|goaaaaaaaaallll(1)|goaaaall(1),16,14,1,0.071,1,0.071,18.9,0,0,GOAAAAAAAAAAAAAAAAAAAAAAAAAAAALL
box,box(10),10,9,3,0.333,4,0.444,18.9,0,0,Party spoiler: I didn't really like Arda today. Not only for that blank moment in the box but overal
carla,carla(8),8,7,4,0.571,3,0.429,18.9,0,0,"The only cute morning text I receive is ""Carla b3atile l terikh"""
breakfast,breakfast(10),10,9,3,0.333,4,0.444,18.9,0,0,#goodmorning #food #Foodporn #foodporrn @ItsFoodPorn #Breakfast https://t.co/P4Q55itGQv
fascism,fascism(7),7,5,3,0.600,5,1.000,18.9,0,0,@c_ha93 What you are doing is pure populism. Since when is Christianity a synonym of fascism? Fascis
galing,galing(14),14,12,1,0.083,4,0.333,18.7,0,0,????? bakit ganun ang galing niyo LABS @XianLimm @prinsesachinita wla ako masabi huhuhu #TSOUAmerika
pieces,pieces(12),12,9,2,0.222,2,0.222,18.7,0,0,pieces of shit that are magical pieces of shit but are pieces of shit nevertheless are such pieces o
aller,aller(8),8,6,4,0.667,0,0.000,18.7,0,0,Aller en cours le samedi puis à la salle et aller à un deuil juste apres hard Day
allsinners2,allsinners2016(11),11,10,1,0.100,10,1.000,18.7,1,0,"@AllSinners2016 congratulations! "" One strike "" reached a gd level on iTunes!!!!"
ficar,ficar(11),11,10,3,0.300,2,0.200,18.7,0,0,o jeito é ignorar porque se eu ficar pensando vou ficar 100x pior
statement,statement(12),12,10,1,0.100,7,0.700,18.6,0,0,Controversial statement about the Western vision of the #Kurds from @alimuratyel in @MiddleEastEye h
kil,kil(6),6,5,4,0.800,5,1.000,18.6,0,0,LBC ekhde 1$ 3a kil mara bit2oul hezeb l kata2eb
huwe,huwe(6),6,5,4,0.800,5,1.000,18.6,0,0,ana christian li huwe killer lah kammel ghanne  ma lah wa22ef la2anno ma hamme  byalli byetmaskharne
gente,gente(9),9,8,4,0.500,1,0.125,18.6,0,0,Qué haces encerrada disfruta calmate un poco yanina es lunes en todo el planeta hace fr?o y la gente
ehhh,ehhh(9),9,9,4,0.444,3,0.333,18.5,0,0,@kevo_90 HAHAHAHAH Eno ehhh btolfozzz
nobrokenhearts,nobrokenhearts(11),11,11,2,0.182,7,0.636,18.5,0,0,@BebeRexha Are you releasing the video at the same time?! #NoBrokenHearts
describe,describe(12),12,12,2,0.167,5,0.417,18.5,0,0,@BebeRexha describe the artwork:p
wle,wle(9),9,9,3,0.333,7,0.778,18.5,0,0,@MhmdLfcAbdallah @LamaRahhal wlak one win men 5 w sayer tetfal7as ya bazawank ? oum nem wle oum ???
skhazem,skhazem(13),13,13,1,0.077,7,0.538,18.5,0,0,@SKhazem لا علاقة هذا بذاك
assafir,assafir(12),12,12,2,0.167,5,0.417,18.5,0,0,"يا رب لست أعلم ما هو أكبر ذنب لدي لكن أعلم و كلي إيمان أن رحمتك سبقت غضبك ومغفرتك سبقت عذابك,None,No"
annoying,annoying(10),10,10,3,0.300,5,0.500,18.5,0,0,take notes @ crush sorry i'm annoying :) https://t.co/5dbKnWh047
broumana,broumana(11),11,11,2,0.182,7,0.636,18.5,0,0,cheyennethepub Broumana opening night...? The VRL crew's new favorite hangout... Especially with… ht
ritakaddoum9,ritakaddoum94(11),11,11,1,0.091,11,1.000,18.5,1,0,@ElieSemaan6 @Dou2abou @RitaKaddoum94 m already here join meh
dieu,dieu(11),11,11,3,0.273,3,0.273,18.5,0,0,Bonsoir.ella.tu.ça.bien.moi.bien.jetaime.beaucou.dieu.avec.toi.tout.les.jour.souzi.constantinides ht
scene,scene(12),12,12,2,0.167,5,0.417,18.5,0,0,@LaraHmayed final scene . what a cut imagine people waited a year to see what happened next you coul
ent,ent(9),9,9,4,0.444,3,0.333,18.5,0,0,@AbbassEzz1 @laloushh sa7i7 ent Bala whatsapp call ma byemsheh l 7al ????
dinaay,dinaay(13),13,13,2,0.154,3,0.231,18.5,0,0,@_DinaAy in what world
ofc,ofc(11),11,11,2,0.182,7,0.636,18.5,0,0,@mdaoui @ALJADEEDNEWS We must be realistic in whatever we think there are numbers facts and realitie
pati,pati(10),10,10,3,0.300,5,0.500,18.5,0,0,Malala na talga ako pati password ng WiFi namin TSOU  na natatype ko ?  KIMXI TSOU ATC MallShow
alf,alf(7),7,7,5,0.714,3,0.429,18.5,0,0,@KhouloudZzz yiii alf mabrukkk ?
tonitks33,tonitks33(11),11,11,1,0.091,11,1.000,18.5,1,0,@RoulaLovers @RoulaChamieh @ToniTks33 صباح الخير يا قمر، إيه الحلاوة دي؟ .. https://t.co/ABseZtWXuX
hashtags,hashtags(10),10,10,3,0.300,5,0.500,18.5,0,0,i mean how many whatshernameForOLLG hashtags have u seen
humans,humans(13),13,13,2,0.154,3,0.231,18.5,0,0,I never believed in #hypnosis till I met religious humans they're completely hypnotized they lost th
explain,explain(12),12,12,2,0.167,5,0.417,18.5,0,0,What alcohol tries to explain to you? https://t.co/XIIz2JUHIW
meron,meron(9),9,9,3,0.333,7,0.778,18.5,0,0,@maiden16_Canada @NNba12 @vine hindi na nila kaya mag tagu ng feeling nila  madamdaman natin kung an
interested,interested(9),9,9,4,0.444,3,0.333,18.5,0,0,Lots of students interested to launch their #businesses! It's a great opportunity for them to… https
campaign,campaign(10),10,10,3,0.300,5,0.500,18.5,0,0,.@Swerdlick from Washington Post breaking down the mess that is the Trump campaign on CNN worldwide.
notice,notice(14),14,14,2,0.143,1,0.071,18.5,0,0,Wait Adele has a dimple what did I just notice this what
rin,rin(11),11,11,2,0.182,7,0.636,18.5,0,0,Wow nakakaexcite hoping and praying pa rin po Ms @bingcas na sana masama ang ToMiho and JaneRome po 
vidal,vidal(9),9,9,4,0.444,3,0.333,18.5,0,0,Barca XI : Bravo - Vidal Pique Mathieu Alba - Arda SergiRoberto Iniesta - Messi Munir Neymar
shouf,shouf(7),7,7,5,0.714,3,0.429,18.5,0,0,رؤوس الجبال تكحلوا بالنور ?? @ Al Shouf Cedar Nature Reserve https://t.co/CyM0fHNjMN
treat,treat(12),12,12,2,0.167,5,0.417,18.5,0,0,Candy chemistry#What's your Favorite Candy Treat??@mak-aisha.edu.lb https://t.co/EJYy4iSJN1
decision,decision(13),13,13,2,0.154,3,0.231,18.5,0,0,I'm voting for Donald trump don't need permission made my decision ????? #DangerousWoman
reality,reality(11),11,11,3,0.273,3,0.273,18.5,0,0,from dream to reality . #hifawi#hifawimakeup#trend #silver#violeta #eyeliner#blue#eyeshadow… https:/
hatem,hatem(12),12,12,2,0.167,5,0.417,18.5,0,0,مسآئک قطعہً من الحيآة ?ممزوجہً  بنكهة •• فَرحْ }-??  وگوبُ «-أمل دافيء لمسآء أجمل بإذن اللہً?  مسآآآ
guerra,guerra(7),7,7,5,0.714,3,0.429,18.5,0,0,Entrando en el sexto a?o de guerra en Siria quiero recordar a las maravillosas personas que… https:/
facing,facing(14),14,14,1,0.071,5,0.357,18.5,0,0,Chilling out (@ Black in Beirut Souks Facing Christian LouBoutin - Beirut Central District) https://
illa,illa(5)|illa1(1),6,6,5,0.833,5,0.833,18.5,0,0,@NidalAlAhmadieh @PaulaYacoubian @samygemayel is3ali chou ma 3ajabo bil mousalaha el massihiye we le
toute,toute(6),6,6,6,1.000,1,0.167,18.5,0,0,Je vais me forcer à dormir toute la journée
aint,aint(11),11,11,3,0.273,3,0.273,18.5,0,0,@Iscodismo james aint spanish
forgot,forgot(11),11,11,3,0.273,3,0.273,18.5,0,0,I haven't been to uni in so long I actually forgot that I'm a student.
nickiminaj,nickiminaj(12),12,12,2,0.167,5,0.417,18.5,0,0,@BebeRexha @NICKIMINAJ 3 MORE DAYS #NoBrokenHearts ??
noor,noor(10),10,10,3,0.300,5,0.500,18.5,0,0,@Noor__ayoub mafiiii ?
smart,smart(13),13,13,2,0.154,3,0.231,18.5,0,0,@CostaTalks you smart
yali,yali(6),6,6,5,0.833,5,0.833,18.5,0,0,@NajibDagher1 wlak dakhilo yali byefhamne? #5eva
haida,haida(6),6,6,5,0.833,5,0.833,18.5,0,0,@mhamadallouch @Marittadaher haida ra3yi we manak moulzam fi ana ra3ise el general michel aoun
ansary1234123,ansary1234123(11),11,11,1,0.091,11,1.000,18.5,1,0,@Ansary1234123 @maronite001 @Christianophobi الاميركي باع لبنان لسوريا ولا علاقة لنا به يا حاقد
palestinian,palestinian(12),12,12,2,0.167,5,0.417,18.5,0,0,@MrASingh @periscopeco  Lebanon has 1.5Million Syrian refugees 100 000 Iraqi refugees and (since 60 
ramadan,ramadan(13),13,13,1,0.077,7,0.538,18.5,0,0,خاص – سعد رمضان يطمئن جمهوره عبر بصراحة بعد الهجوم الارهابي على ساحل العاج   https://t.co/YXXioU1EnO
bhebik,bhebik(11),11,11,3,0.273,3,0.273,18.5,0,0,@missburgers_ @Amirabiabdallah @MostafaKarout @leaboust ally bhebik
dg0drp9ohh,dg0drp9ohh(11),11,11,1,0.091,11,1.000,18.5,1,0,"@beterhana8551: الظاهر ماعجبناك,None,beterhana8551,ar,لبنان,LB,لبنان,0,nadoushn164,4852502232,5,1,ar"
oldbrecon68,oldbrecon68(11),11,11,1,0.091,11,1.000,18.5,1,0,Mary Wood~Reviewer @oldbrecon68  Thank you Marry !  @kendulin @ReverbNation  #Du #It #Dulin https://
wise,wise(9),9,9,4,0.444,3,0.333,18.5,0,0,To the only wise God our Saviour be glory and majesty dominion and power both now and ever. Amen. Ju
xian,xian(10),10,10,3,0.300,5,0.500,18.5,0,0,Words words words haha Xian Lim ang peg  #TSOULdr
ino,ino(6),6,6,5,0.833,5,0.833,18.5,0,0,Laaaaa wlooo ma 7abbet bi Sawa ino men wara 5abta zghiri reje3 yshuf hek pure film masri walaaaw!!! 
medlij,medlij(10),10,10,3,0.300,5,0.500,18.5,0,0,@MEDLIJ_ mhile ra2me mn 3ndk
sabra,sabra(6),6,6,5,0.833,5,0.833,18.5,0,0,Wen and only wen - Sabra
arabe,arabe(7),7,7,5,0.714,3,0.429,18.5,0,0,Bade sir ehke bl arabe fuck it... Azde تباً لهذه الأمة*
finoallafine,finoallafine(13),13,13,2,0.154,3,0.231,18.5,0,0,24 HOURS LEFT #BayernJuve #BeHeroes #FinoAllaFine #ForzaJuventus ??
mrskhraibene,mrskhraibene(9),9,9,4,0.444,3,0.333,18.5,0,0,@MrsKhraibene @MazenShatila HAHAHAHAHAHAHAHAAHAHAHA
munich,munich(11),11,11,3,0.273,3,0.273,18.5,0,0,@Hamsabdullah time for spaghetti tonight#bayern Munich
tadbyb,tadbyb(11),11,11,2,0.182,7,0.636,18.5,0,0,Who do you think will win? #Tadamon v #Byblos #TadByb
ahmad88,ahmad88(8),8,5,2,0.400,5,1.000,18.4,1,0,Some people shouldn't be where they are now...“ Wishing you a blessed #day! #RDM @ Kasrouane https:/
tee,tee(8),8,7,3,0.429,6,0.857,18.3,0,0,day 2: i have disguised myself as a golf tee. upskirt action was 10/10 today. https://t.co/fNXdnUSzQ
manood,manood(10),10,9,3,0.333,3,0.333,18.3,0,0,@HTaladro @ALDubTeamBahay_ @CabangRoma @CindyHarvard @EatBulaga hayaan lang yan kung saan gusto nila
brunch,brunch(10),10,9,2,0.222,7,0.778,18.3,0,0,"miraaboujaoude : ""Le Brunch Chez Liza ???"" https://t.co/L3QxhTAPTI #beirut"
mileledrive,mileledrive(15),15,7,0,0.000,3,0.429,18.2,0,0,#miledrive #MileleDrive @Albix_junior @Milele_FM @AwinjaCleopas @NzulaMakosi @Marynjau6G @gathonikam
cloud,cloud(11),11,10,2,0.200,5,0.500,18.1,0,0,#timelapse #jaleldib #beirut #Lebanon #lebanesestyle #lebaneseworldwide #cloud #clouds #weather… htt
stress,stress(11),11,7,2,0.286,1,0.143,18.1,0,0,No stress Relax. @ Bkassin-jezzine https://t.co/ox9wqj8AA6
memphis,memphis(9),9,8,3,0.375,4,0.500,18.0,0,0,Behde ghenyet baba fen la @Memphis
letting,letting(13),13,13,2,0.154,2,0.154,18.0,0,0,Just letting you know that @AlBatrick has never been on public transport alone before.  Proof: https
marwa,marwa(8),8,8,4,0.500,4,0.500,18.0,0,0,@nour_nour1u @Marwa_mjk  يرزق حظ الفاشلين !!!? مبن خبرك أنها فاشله يا حبيبتي؟ لمعلوماتك ? هيي كتيير 
studio,studio(10),10,10,2,0.200,8,0.800,18.0,0,0,.... studio.caramel delivers @tastykitchens bar cart.. ? ... #cocktailsanyone… https://t.co/zoTuQx38
arianagrande,arianagrande(15),15,15,1,0.067,2,0.133,18.0,0,0,@ArianaGrande I love you
realize,realize(13),13,13,2,0.154,2,0.154,18.0,0,0,What if day before flight nila pabalik sa Pinas ma realize ni M na mas magiging masaya at tahimik bu
fml,fml(12),12,10,2,0.200,2,0.200,18.0,0,0,@joellahmarani fml
ibrahim,ibrahim(11),11,11,2,0.182,6,0.545,18.0,0,0,???? @ Sultan Ibrahim https://t.co/FeABGFKAbQ
fly,fly(12),12,12,2,0.167,4,0.333,18.0,0,0,And ill reach you when i fly ...
similar,similar(9),9,9,3,0.333,6,0.667,18.0,0,0,@glidiva can't be bothered with the last chp honestly layke solve the sample midterm comes v similar
disappointed,disappointed(12),12,12,2,0.167,4,0.333,18.0,0,0,I didn't watch it yet but u guys made me disappointed ? #gülü?ünyeter
juste,juste(8),8,8,5,0.625,0,0.000,18.0,0,0,Soit c'est tout soit c'est rien il n'y a pas de juste milieu et il n'y en aura jamais'
3anjad,3anjad(8),8,8,3,0.375,8,1.000,18.0,1,0,@mich_h Hahahahahahahahhhahaha 3anjad? Great choice
sem,sem(9),9,9,4,0.444,2,0.222,18.0,0,0,"Ela segue sem deixar que limitados tentem limitar... Deixa ela … https://t.co/OONblaPJlF,None,None,p"
mute,mute(10),10,10,3,0.300,4,0.400,18.0,0,0,Li b ne2 eno we3e bakir w it's the weekend ekela mute LA2ANO ELE BOU3A ABEL LDAW EVERY SINGLE DAY MI
maiden,maiden16(10)|maiden(4),14,14,0,0.000,8,0.571,18.0,0,0,@maiden16_ILN @MaineAlden16 guwapo ni jake hihihihi #ALDUBPaandarNiDudang
ministry,ministry(9),9,9,3,0.333,6,0.667,18.0,0,0,Mr. fadi Yarak from Ministry of Educatiob @GirlsgotITLeb https://t.co/pxwvO1EYZy
5flrtnyrjysoz2m,5flrtnyrjysoz2m(12),12,12,0,0.000,12,1.000,18.0,1,0,@41126qqqqqq @5FLRtnYrjysoZ2M https://t.co/7DshY1dFfl
