combo_id,arabic_phrase,romanized_canonical,english_gloss,component_tokens,combined_sector,combined_issue_type,combined_severity_hint,override_type,override_reason,false_friend_risk,confidence_level,source_reference,review_status,reviewer_id,created_at,must_not_auto_promote
PC-0092,عند المدخل,3and l mad5al,at entrance,3and;mad5al,ALL,location_context,LOW,LOCATION_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0093,بالقرب من المدرسة,bel 2orb men l madrase,near school,2orb;madrase,ALL,sensitive_location,LOW,LOCATION_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0094,المي مقطوعة,may ma2tou3a,water is cut,may;ma2tou3a,WATER,water_unavailable,LOW,WATER_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0095,ضغط المي ضعيف,daghet l may d3if,water pressure weak,daghet;may;d3if,WATER,low_pressure,LOW,WATER_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0096,في تسريب,fi tasrib,there is a leak,fi;tasrib,WATER,leak_context,LOW,WATER_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0097,بالوعة مسدودة,balou3a msadoude,blocked drain,balou3a;msadoude,FLOODING,blocked_drain,LOW,FLOODING_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0098,مياه راكدة,may rakde,standing water,may;rakde,FLOODING,standing_water,LOW,FLOODING_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0099,الطريق غرقانة,tari2 ghar2ane,road is flooded,tari2;ghar2ane,FLOODING,flooded_road,MEDIUM,FLOODING_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0100,كهربا قاطعة,kahraba 2at3a,power is out,kahraba;2at3a,ELECTRICITY,power_outage,LOW,ELECTRICITY_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0101,في شرارة,fi sharara,there is a spark,fi;sharara,ELECTRICITY,spark_context,HIGH,ELECTRICITY_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",true,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0102,المولد مطفي,moualled tefi,generator is off,moualled;tefi,ELECTRICITY,generator_status,LOW,ELECTRICITY_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0103,في تماس,fi temmas,there is short/contact,fi;temmas,ELECTRICITY,short_circuit_context,HIGH,ELECTRICITY_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",true,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0104,ريحة بشعة,ri7a besh3a,bad smell,ri7a;besh3a,WASTE,bad_smell,LOW,WASTE_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0105,في جرذان,fi jradin,there are rats,fi;jradin,WASTE,pests_context,MEDIUM,WASTE_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0106,في حشرات,fi 7asharat,there are insects,fi;7asharat,WASTE,pests_context,MEDIUM,WASTE_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0107,في حريق,fi 7ari2,there is fire,fi;7ari2,SAFETY,fire_context,HIGH,SAFETY_HITL_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",true,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0108,في إصابة,fi isabe,there is injury,fi;isabe,SAFETY,injury_context,HIGH,SAFETY_HITL_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",true,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0109,بناية بخطر,bineye bi 5atar,building in danger,bineye;5atar,SAFETY,building_risk,HIGH,SAFETY_HITL_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",true,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0110,مية مقطوعة,miye mat3a,water is cut off,miye;mat3a,WATER,WATER_CUT,HIGH,STATUS_PHRASE,miye (water) + mat3a (cut off fem.) — the composite is a WATER/WATER_CUT signal; miye alone is GWB-only (false_friend: miye=100),false,HIGH,oov_pack_v16_b001_absorption,APPROVED,SYSTEM-V16,2026-05-21T16:14:59Z,false
PC-0111,مية مقطوعة,mat3a l miye,the water is cut off (reverse order),mat3a;l;miye,WATER,WATER_CUT,HIGH,STATUS_PHRASE,Reverse order variant of miye mat3a; both orderings are common in Lebanese Arabizi; same routing output,false,HIGH,oov_pack_v16_b001_absorption,APPROVED,SYSTEM-V16,2026-05-21T16:14:59Z,false
PC-0112,شارع سرسق,share3 sursok,"Sursock Street (Ashrafieh, East Beirut)",share3;sursok,ALL,location_context,LOW,LOCATION_COMBO,Proper noun — Sursock Street in Ashrafieh district; sursok alone has no standalone meaning; combo prevents mis-routing of the street name,false,HIGH,oov_pack_v16_b001_absorption,APPROVED,SYSTEM-V16,2026-05-21T16:14:59Z,false
PC-0113,شارع الأرمن,share3 armeniye,Armenian Street (Bourj Hammoud),share3;armeniye,ALL,location_context,LOW,LOCATION_COMBO,Proper noun — Armenian Street in Bourj Hammoud; armeniye alone could be mis-read as adj. 'Armenian (fem.)'; combo locks it as a location,false,HIGH,oov_pack_v16_b001_absorption,APPROVED,SYSTEM-V16,2026-05-21T16:14:59Z,false
PC-0114,شارع مقدسي,share3 makdissi,Makdissi Street (Hamra district),share3;makdissi,ALL,location_context,LOW,LOCATION_COMBO,"Proper noun — Makdissi Street in Hamra, West Beirut; makdissi alone could be confused with a person's name; combo locks it as a location",false,HIGH,oov_pack_v16_b001_absorption,APPROVED,SYSTEM-V16,2026-05-21T16:14:59Z,false
PC-0115,شارع جان دارك,share3 jeanne d arc,"Jeanne d'Arc Street (Ras Beirut, near AUB)",share3;jeanne;d;arc,ALL,location_context,LOW,LOCATION_COMBO,Proper noun — Jeanne d'Arc Street in Ras Beirut near AUB; French proper name; combo prevents routing on any single token,false,HIGH,oov_pack_v16_b001_absorption,APPROVED,SYSTEM-V16,2026-05-21T16:14:59Z,false
PC-0116,شارع مخول,share3 makhoul,"Makhoul Street (Ras Beirut, near AUB)",share3;makhoul,ALL,location_context,LOW,LOCATION_COMBO,Proper noun — Makhoul Street in Ras Beirut; makhoul alone means 'authorised/empowered' in Arabic — location combo prevents false routing,true,HIGH,oov_pack_v16_b001_absorption,APPROVED,SYSTEM-V16,2026-05-21T16:14:59Z,false
PC-0117,شارع سوديكو,share3 sodeco,Sodeco Street / area (Ashrafieh),share3;sodeco,ALL,location_context,LOW,LOCATION_COMBO,"Proper noun — Sodeco area/street in Ashrafieh, East Beirut; SODECO is also a former company name; combo prevents routing on sodeco alone",false,HIGH,oov_pack_v16_b001_absorption,APPROVED,SYSTEM-V16,2026-05-21T16:14:59Z,false
PC-0118,الخندق الغميق,el khandaq el ghamik,Khandaq el Ghamiq neighbourhood (Beirut),el;khandaq;el;ghamik,ALL,location_context,LOW,LOCATION_COMBO,Proper noun — Khandaq al-Ghamiq is a Beirut neighbourhood near Barbir hospital; khandaq=ditch (infra) and ghamik=deep (adj.) both have standalone meanings — this combo locks them as a location identifier,false,HIGH,oov_pack_v16_b001_absorption,APPROVED,SYSTEM-V16,2026-05-21T16:14:59Z,false
