id,arabizi_variant,normalized_arabizi,arabic_lebanese,english_meaning,category,part_of_speech,form_type,notes,confidence
7535,ana 7ad ma7attet l benzine,ana 7ad ma7attet l benzine,أنا حد محطة البنزين,I am next to the gas station,directions,phrase,phrase,pickup landmark,high
7536,ana hadd ma7attet l benzin,ana 7ad ma7attet l benzine,أنا حد محطة البنزين,I am next to the gas station,directions,phrase,spelling_variant,pickup landmark,high
7537,ana eddem l saydaliye,ana eddem l saydaliye,أنا قدّام الصيدلية,I am in front of the pharmacy,directions,phrase,phrase,pickup landmark,high
7538,ene eddem l saydaliye,ana eddem l saydaliye,أنا قدّام الصيدلية,I am in front of the pharmacy,directions,phrase,spelling_variant,pickup landmark,high
7539,ana 3al zawye,ana 3al zawye,أنا عالزاوية,I am at the corner,directions,phrase,phrase,pickup landmark,high
7540,ene 3al zawye,ana 3al zawye,أنا عالزاوية,I am at the corner,directions,phrase,spelling_variant,pickup landmark,high
7541,ana eddem l bineye,ana eddem l bineye,أنا قدّام البناية,I am in front of the building,directions,phrase,phrase,pickup location,high
7542,ene eddem l bineye,ana eddem l bineye,أنا قدّام البناية,I am in front of the building,directions,phrase,spelling_variant,pickup location,high
7543,ana wara l bineye,ana wara l bineye,أنا ورا البناية,I am behind the building,directions,phrase,phrase,pickup location,high
7544,ene wara l bineye,ana wara l bineye,أنا ورا البناية,I am behind the building,directions,phrase,spelling_variant,pickup location,high
7545,ana hadd l supermarket,ana hadd l supermarket,أنا حد السوبرماركت,I am next to the supermarket,directions,phrase,phrase,pickup landmark,high
7546,ana 7ad l supermarket,ana hadd l supermarket,أنا حد السوبرماركت,I am next to the supermarket,directions,phrase,spelling_variant,pickup landmark,high
7547,ana 3and l mafra2,ana 3and l mafra2,أنا عند المفرق,I am at the turn,directions,phrase,phrase,pickup location,high
7548,ene 3and l mafra2,ana 3and l mafra2,أنا عند المفرق,I am at the turn,directions,phrase,spelling_variant,pickup location,high
7549,ana 3and l dawra,ana 3and l dawra,أنا عند الدوّار,I am at the roundabout,directions,phrase,phrase,pickup location,high
7550,ene 3and l dawra,ana 3and l dawra,أنا عند الدوّار,I am at the roundabout,directions,phrase,spelling_variant,pickup location,high
7551,ana abel l jeser,ana abel l jeser,أنا قبل الجسر,I am before the bridge,directions,phrase,phrase,pickup location,high
7552,ene abl l jeser,ana abel l jeser,أنا قبل الجسر,I am before the bridge,directions,phrase,spelling_variant,pickup location,high
7553,ana ba3ed l jeser,ana ba3ed l jeser,أنا بعد الجسر,I am after the bridge,directions,phrase,phrase,pickup location,high
7554,ene ba3d l jeser,ana ba3ed l jeser,أنا بعد الجسر,I am after the bridge,directions,phrase,spelling_variant,pickup location,high
7555,l mahal 7ad l saydaliye,l mahal 7ad l saydaliye,المحل حد الصيدلية,the place is next to the pharmacy,directions,phrase,phrase,landmark direction,high
7556,l ma7al 7ad el saydaliye,l mahal 7ad l saydaliye,المحل حد الصيدلية,the place is next to the pharmacy,directions,phrase,spelling_variant,landmark direction,high
7557,l bineye eddem l bank,l bineye eddem l bank,البناية قدّام البنك,the building is in front of the bank,directions,phrase,phrase,landmark direction,high
7558,l bineye 2edem l bank,l bineye eddem l bank,البناية قدّام البنك,the building is in front of the bank,directions,phrase,spelling_variant,landmark direction,high
7559,l mahal wara l madrese,l mahal wara l madrese,المحل ورا المدرسة,the place is behind the school,directions,phrase,phrase,landmark direction,high
7560,l ma7al wara l madrese,l mahal wara l madrese,المحل ورا المدرسة,the place is behind the school,directions,phrase,spelling_variant,landmark direction,high
7561,l beit 7ad l furn,l beit 7ad l furn,البيت حد الفرن,the house is next to the bakery,directions,phrase,phrase,landmark direction,high
7562,l bayt 7ad l furn,l beit 7ad l furn,البيت حد الفرن,the house is next to the bakery,directions,phrase,spelling_variant,landmark direction,high
7563,l madkhal men wara,l madkhal men wara,المدخل من ورا,the entrance is from the back,directions,phrase,phrase,entrance direction,high
7564,l madkhal mn wara,l madkhal men wara,المدخل من ورا,the entrance is from the back,directions,phrase,spelling_variant,entrance direction,high
7565,l madkhal 3al janab,l madkhal 3al janab,المدخل عالجنب,the entrance is on the side,directions,phrase,phrase,entrance direction,high
7566,l madkhal aal janab,l madkhal 3al janab,المدخل عالجنب,the entrance is on the side,directions,phrase,spelling_variant,entrance direction,high
7567,b3atle l exact location,b3atle l exact location,بعتلي الإكزاكت لوكيشن,send me the exact location,questions,phrase,question,location sharing request,high
7568,ba3atle el exact location,b3atle l exact location,بعتلي الإكزاكت لوكيشن,send me the exact location,questions,phrase,spelling_variant,location sharing request,high
7569,b3atle pin zabit,b3atle pin zabit,بعتلي بن زابط,send me an accurate pin,questions,phrase,question,location sharing request,high
7570,ba3atle pin zabit,b3atle pin zabit,بعتلي بن زابط,send me an accurate pin,questions,phrase,spelling_variant,location sharing request,high
7571,b3atle live location,b3atle live location,بعتلي لايف لوكيشن,send me live location,questions,phrase,question,location sharing request,high
7572,ba3atle live location,b3atle live location,بعتلي لايف لوكيشن,send me live location,questions,phrase,spelling_variant,location sharing request,high
7573,fte7 l live location,fte7 l live location,فتّح اللايف لوكيشن,turn on live location,questions,phrase,question,location sharing request,high
7574,fta7 el live location,fte7 l live location,فتّح اللايف لوكيشن,turn on live location,questions,phrase,spelling_variant,location sharing request,high
7575,7ot l location 3al whatsapp,7ot l location 3al whatsapp,حطّ اللوكيشن عالواتساب,put the location on WhatsApp,directions,phrase,phrase,location sharing request,high
7576,7ot el location 3al whatsapp,7ot l location 3al whatsapp,حطّ اللوكيشن عالواتساب,put the location on WhatsApp,directions,phrase,spelling_variant,location sharing request,high
7577,3id b3atle l location,3id b3atle l location,عيد بعتلي اللوكيشن,send me the location again,questions,phrase,question,location resend request,high
7578,3id ba3atle el location,3id b3atle l location,عيد بعتلي اللوكيشن,send me the location again,questions,phrase,spelling_variant,location resend request,high
7579,b3atle locationak,b3atle locationak,بعتلي لوكيشنك,send me your location,questions,phrase,question,location sharing request,high
7580,ba3atle locationak,b3atle locationak,بعتلي لوكيشنك,send me your location,questions,phrase,spelling_variant,location sharing request,high
7581,l location mesh zabit,l location mesh zabit,اللوكيشن مش زابط,the location is not correct,replies,phrase,reply,map location problem,high
7582,el location mesh zabit,l location mesh zabit,اللوكيشن مش زابط,the location is not correct,replies,phrase,spelling_variant,map location problem,high
7583,l maps 3am ydawwarne,l maps 3am ydawwarne,المابس عم يدوّرني,Maps is making me go in circles,replies,phrase,reply,maps navigation problem,high
7584,el maps 3am ydawwarne,l maps 3am ydawwarne,المابس عم يدوّرني,Maps is making me go in circles,replies,phrase,spelling_variant,maps navigation problem,high
7585,l maps wassalne 3a mahal ghalat,l maps wassalne 3a mahal ghalat,المابس وصلني ع محل غلط,Maps took me to the wrong place,replies,phrase,reply,maps navigation problem,high
7586,el maps wassalne 3a ma7al ghalat,l maps wassalne 3a mahal ghalat,المابس وصلني ع محل غلط,Maps took me to the wrong place,replies,phrase,spelling_variant,maps navigation problem,high
7587,l live location wa2fe,l live location wa2fe,اللايف لوكيشن واقفة,the live location is stuck,replies,phrase,reply,location sharing problem,high
7588,el live location wa2fe,l live location wa2fe,اللايف لوكيشن واقفة,the live location is stuck,replies,phrase,spelling_variant,location sharing problem,high
7589,ma 3am bayyen 3al maps,ma 3am bayyen 3al maps,ما عم بيّن عالمابس,I am not showing on Maps,replies,phrase,reply,maps visibility problem,high
7590,ma 3m bayyen 3al maps,ma 3am bayyen 3al maps,ما عم بيّن عالمابس,I am not showing on Maps,replies,phrase,spelling_variant,maps visibility problem,high
7591,d3et shway,d3et shway,ضعت شوي,I got a bit lost,replies,phrase,reply,lost route update,high
7592,de3et shway,d3et shway,ضعت شوي,I got a bit lost,replies,phrase,spelling_variant,lost route update,high
7593,daye3 bel tari2,daye3 bel tari2,ضايع بالطريق,I am lost on the way,replies,phrase,reply,masculine/general lost update,high
7594,dayi3 bel tari2,daye3 bel tari2,ضايع بالطريق,I am lost on the way,replies,phrase,spelling_variant,masculine/general lost update,high
7595,day3a bel tari2,day3a bel tari2,ضايعة بالطريق,I am lost on the way,replies,phrase,reply,feminine lost update,high
7596,daye3a bel tari2,day3a bel tari2,ضايعة بالطريق,I am lost on the way,replies,phrase,spelling_variant,feminine lost update,high
7597,daya3et l tari2,daya3et l tari2,ضيّعت الطريق,I lost the road,replies,phrase,reply,lost route update,high
7598,daya3it el tari2,daya3et l tari2,ضيّعت الطريق,I lost the road,replies,phrase,spelling_variant,lost route update,high
7599,ma 3refet wen fout,ma 3refet wen fout,ما عرفت وين فوت,I did not know where to enter,replies,phrase,reply,route confusion,high
7600,ma 3rifet wen fut,ma 3refet wen fout,ما عرفت وين فوت,I did not know where to enter,replies,phrase,spelling_variant,route confusion,high
7601,ma 3refet wen leff,ma 3refet wen leff,ما عرفت وين لفّ,I did not know where to turn,replies,phrase,reply,route confusion,high
7602,ma 3rifet wen leff,ma 3refet wen leff,ما عرفت وين لفّ,I did not know where to turn,replies,phrase,spelling_variant,route confusion,high
7603,fettet l mafra2,fettet l mafra2,فاتني المفرق,I missed the turn,replies,phrase,reply,missed turn update,high
7604,fetet el mafra2,fettet l mafra2,فاتني المفرق,I missed the turn,replies,phrase,spelling_variant,missed turn update,high
7605,fettet 3an l mahal,fettet 3an l mahal,فاتني المحل,I passed the place,replies,phrase,reply,missed place update,high
7606,fetet 3an el mahal,fettet 3an l mahal,فاتني المحل,I passed the place,replies,phrase,spelling_variant,missed place update,high
7607,2ata3et l mahal,2ata3et l mahal,قطعت المحل,I passed the place,replies,phrase,reply,passed location update,high
7608,ata3et el mahal,2ata3et l mahal,قطعت المحل,I passed the place,replies,phrase,spelling_variant,passed location update,high
7609,dallne 3al tari2,dallne 3al tari2,دلّني عالطريق,guide me to the road,questions,phrase,question,direction help request,high
7610,dellne 3al tari2,dallne 3al tari2,دلّني عالطريق,guide me to the road,questions,phrase,spelling_variant,direction help request,high
7611,3tine landmark,3tine landmark,عطيني لاندمارك,give me a landmark,questions,phrase,question,asking for navigation clue,high
7612,3tini landmark,3tine landmark,عطيني لاندمارك,give me a landmark,questions,phrase,spelling_variant,asking for navigation clue,high
7613,shou 7ad l mahal,shou 7ad l mahal,شو حد المحل؟,what is next to the place?,questions,phrase,question,asking for landmark,high
7614,shu 7ad l mahal,shou 7ad l mahal,شو حد المحل؟,what is next to the place?,questions,phrase,spelling_variant,asking for landmark,high
7615,fi shi 7addo,fi shi 7addo,في شي حدّو؟,is there anything next to it?,questions,phrase,question,asking for landmark,high
7616,fe shi 7addo,fi shi 7addo,في شي حدّو؟,is there anything next to it?,questions,phrase,spelling_variant,asking for landmark,high
7617,l tari2 m3abba,l tari2 m3abba,الطريق معبّى,the road is packed,transportation,phrase,phrase,traffic condition,high
7618,el tari2 m3abba,l tari2 m3abba,الطريق معبّى,the road is packed,transportation,phrase,spelling_variant,traffic condition,high
7619,l tari2 wa2fe,l tari2 wa2fe,الطريق واقفة,the road is not moving,transportation,phrase,phrase,traffic condition,high
7620,el tari2 wa2fe,l tari2 wa2fe,الطريق واقفة,the road is not moving,transportation,phrase,spelling_variant,traffic condition,high
7621,l ser wa2ef,l ser wa2ef,السير واقف,traffic is stopped,transportation,phrase,phrase,traffic condition,high
7622,el ser wa2ef,l ser wa2ef,السير واقف,traffic is stopped,transportation,phrase,spelling_variant,traffic condition,high
7623,l 3aj2a mesh tabi3iye,l 3aj2a mesh tabi3iye,العجقة مش طبيعية,the traffic is crazy,transportation,phrase,phrase,traffic condition,high
7624,el 3aj2a mish tabi3iye,l 3aj2a mesh tabi3iye,العجقة مش طبيعية,the traffic is crazy,transportation,phrase,spelling_variant,traffic condition,high
7625,3am nemshe 3al mahl,3am nemshe 3al mahl,عم نمشي عالمهل,we are moving slowly,transportation,phrase,phrase,traffic movement update,high
7626,3am nemshi 3al mahl,3am nemshe 3al mahl,عم نمشي عالمهل,we are moving slowly,transportation,phrase,spelling_variant,traffic movement update,high
7627,kel shi wa2ef,kel shi wa2ef,كل شي واقف,everything is stopped,transportation,phrase,phrase,traffic condition,high
7628,kil shi wa2ef,kel shi wa2ef,كل شي واقف,everything is stopped,transportation,phrase,spelling_variant,traffic condition,high
7629,l autostrad 3aj2a,l autostrad 3aj2a,الأوتوستراد عجقة,the highway has traffic,transportation,phrase,phrase,traffic condition,high
7630,el autostrad 3aj2a,l autostrad 3aj2a,الأوتوستراد عجقة,the highway has traffic,transportation,phrase,spelling_variant,traffic condition,high
7631,fi 3aj2a 3al mafra2,fi 3aj2a 3al mafra2,في عجقة عالمفرق,there is traffic at the turn,transportation,phrase,phrase,traffic condition,high
7632,fe 3aj2a 3al mafra2,fi 3aj2a 3al mafra2,في عجقة عالمفرق,there is traffic at the turn,transportation,phrase,spelling_variant,traffic condition,high
7633,7a et2akhar men l 3aj2a,7a et2akhar men l 3aj2a,رح إتأخر من العجقة,I will be late because of traffic,replies,phrase,reply,traffic delay excuse,high
7634,ra7 et2akhar men el 3aj2a,7a et2akhar men l 3aj2a,رح إتأخر من العجقة,I will be late because of traffic,replies,phrase,spelling_variant,traffic delay excuse,high
7635,baddi 10 d2aye2 zeyde,baddi 10 d2aye2 zeyde,بدي عشر دقايق زيادة,I need ten more minutes,replies,phrase,reply,delay coordination,high
7636,bade 10 da2aye2 zeyde,baddi 10 d2aye2 zeyde,بدي عشر دقايق زيادة,I need ten more minutes,replies,phrase,spelling_variant,delay coordination,high
7637,ma t2alla2 ana 3al tari2,ma t2alla2 ana 3al tari2,ما تقلق أنا عالطريق,do not worry I am on the way,replies,phrase,reply,commuting reassurance,high
7638,ma te2la2 ana 3al tari2,ma t2alla2 ana 3al tari2,ما تقلق أنا عالطريق,do not worry I am on the way,replies,phrase,spelling_variant,commuting reassurance,high
7639,ba3edne b3id shway,ba3edne b3id shway,بعدني بعيد شوي,I am still a bit far,replies,phrase,reply,arrival progress,high
7640,ba3dne b3id shway,ba3edne b3id shway,بعدني بعيد شوي,I am still a bit far,replies,phrase,spelling_variant,arrival progress,high
7641,l tari2 m2atta3a,l tari2 m2atta3a,الطريق مقطّعة,the road is blocked in parts,transportation,phrase,phrase,road problem,high
7642,el tari2 m2atta3a,l tari2 m2atta3a,الطريق مقطّعة,the road is blocked in parts,transportation,phrase,spelling_variant,road problem,high
7643,khadet tari2 tene,khadet tari2 tene,أخدت طريق تاني,I took another road,replies,phrase,reply,route change update,high
7644,khadit tari2 tene,khadet tari2 tene,أخدت طريق تاني,I took another road,replies,phrase,spelling_variant,route change update,high
7645,khadet l tari2 l ghalat,khadet l tari2 l ghalat,أخدت الطريق الغلط,I took the wrong road,replies,phrase,reply,wrong road update,high
7646,khadit el tari2 el ghalat,khadet l tari2 l ghalat,أخدت الطريق الغلط,I took the wrong road,replies,phrase,spelling_variant,wrong road update,high
7647,ekhdet l mafra2 ghalat,ekhdet l mafra2 ghalat,أخدت المفرق غلط,I took the wrong turn,replies,phrase,reply,navigation mistake,high
7648,akhadet l mafra2 ghalat,ekhdet l mafra2 ghalat,أخدت المفرق غلط,I took the wrong turn,replies,phrase,spelling_variant,navigation mistake,high
7649,rje3et la wara,rje3et la wara,رجعت لورا,I went back,replies,phrase,reply,route correction update,high
7650,rji3et la wara,rje3et la wara,رجعت لورا,I went back,replies,phrase,spelling_variant,route correction update,high
7651,7a dawwer mn mahal tene,7a dawwer mn mahal tene,رح دوّر من محل تاني,I will go around from another place,replies,phrase,reply,route change update,high
7652,ra7 dawwer mn ma7al tene,7a dawwer mn mahal tene,رح دوّر من محل تاني,I will go around from another place,replies,phrase,spelling_variant,route change update,high
7653,ma fiyye fout mn hon,ma fiyye fout mn hon,ما فيي فوت من هون,I cannot enter from here,replies,phrase,reply,road access problem,high
7654,ma fiyye fut mn hon,ma fiyye fout mn hon,ما فيي فوت من هون,I cannot enter from here,replies,phrase,spelling_variant,road access problem,high
7655,l mafra2 msakkar,l mafra2 msakkar,المفرق مسكّر,the turn is closed,transportation,phrase,phrase,road closure,high
7656,el mafra2 msakkar,l mafra2 msakkar,المفرق مسكّر,the turn is closed,transportation,phrase,spelling_variant,road closure,high
7657,fi 7efra bel tari2,fi 7efra bel tari2,في حفرة بالطريق,there is a pothole in the road,transportation,phrase,phrase,road problem,high
7658,fe 7efra bel tari2,fi 7efra bel tari2,في حفرة بالطريق,there is a pothole in the road,transportation,phrase,spelling_variant,road problem,high
7659,fi may bel tari2,fi may bel tari2,في مي بالطريق,there is water on the road,transportation,phrase,phrase,road problem,high
7660,fe may bel tari2,fi may bel tari2,في مي بالطريق,there is water on the road,transportation,phrase,spelling_variant,road problem,high
7661,l tari2 mgharra2a,l tari2 mgharra2a,الطريق مغرّقة,the road is flooded,transportation,phrase,phrase,road problem,high
7662,el tari2 mgharra2a,l tari2 mgharra2a,الطريق مغرّقة,the road is flooded,transportation,phrase,spelling_variant,road problem,high
7663,fi ashghal 3al tari2,fi ashghal 3al tari2,في أشغال عالطريق,there is roadwork on the road,transportation,phrase,phrase,road problem,high
7664,fe ashghal 3al tari2,fi ashghal 3al tari2,في أشغال عالطريق,there is roadwork on the road,transportation,phrase,spelling_variant,road problem,high
7665,fi radar 3al tari2,fi radar 3al tari2,في رادار عالطريق,there is a speed camera on the road,transportation,phrase,phrase,road condition,high
7666,fe radar 3al tari2,fi radar 3al tari2,في رادار عالطريق,there is a speed camera on the road,transportation,phrase,spelling_variant,road condition,high
7667,l ishara ma 3am teshtoghol,l ishara ma 3am teshtoghol,الإشارة ما عم تشتغل,the traffic light is not working,transportation,phrase,phrase,road problem,high
7668,el ishara ma 3am teshtoghol,l ishara ma 3am teshtoghol,الإشارة ما عم تشتغل,the traffic light is not working,transportation,phrase,spelling_variant,road problem,high
7669,l tari2 zal2a,l tari2 zal2a,الطريق زلقة,the road is slippery,transportation,phrase,phrase,road problem,high
7670,el tari2 zal2a,l tari2 zal2a,الطريق زلقة,the road is slippery,transportation,phrase,spelling_variant,road problem,high
7671,l tari2 m3atme,l tari2 m3atme,الطريق معتمة,the road is dark,transportation,phrase,phrase,road problem,high
7672,el tari2 m3atme,l tari2 m3atme,الطريق معتمة,the road is dark,transportation,phrase,spelling_variant,road problem,high
7673,l tari2 day2a,l tari2 day2a,الطريق ضيّقة,the road is narrow,transportation,phrase,phrase,road problem,high
7674,el tari2 day2a,l tari2 day2a,الطريق ضيّقة,the road is narrow,transportation,phrase,spelling_variant,road problem,high
7675,mn hon a2rab,mn hon a2rab,من هون أقرب,it is closer from here,directions,phrase,phrase,route suggestion,high
7676,men hon a2rab,mn hon a2rab,من هون أقرب,it is closer from here,directions,phrase,spelling_variant,route suggestion,high
7677,mn l highway asra3,mn l highway asra3,من الهايواي أسرع,the highway is faster,directions,phrase,phrase,route suggestion,high
7678,men l highway asra3,mn l highway asra3,من الهايواي أسرع,the highway is faster,directions,phrase,spelling_variant,route suggestion,high
7679,khod l highway,khod l highway,خد الهايواي,take the highway,directions,phrase,phrase,route instruction,high
7680,5od l highway,khod l highway,خد الهايواي,take the highway,directions,phrase,spelling_variant,route instruction,high
7681,ma fik tw2af hon,ma fik tw2af hon,ما فيك توقف هون,you cannot stop here,directions,phrase,phrase,stopping rule warning,high
7682,ma feek tw2af hon,ma fik tw2af hon,ما فيك توقف هون,you cannot stop here,directions,phrase,spelling_variant,stopping rule warning,high
7683,ma fi mahal tw2af,ma fi mahal tw2af,ما في محل توقف,there is nowhere to stop,transportation,phrase,phrase,stopping issue,high
7684,ma fe ma7al tw2af,ma fi mahal tw2af,ما في محل توقف,there is nowhere to stop,transportation,phrase,spelling_variant,stopping issue,high
7685,khafef l ser3a,khafef l ser3a,خفّف السرعة,slow down,directions,phrase,phrase,driving safety,high
7686,5afef l ser3a,khafef l ser3a,خفّف السرعة,slow down,directions,phrase,spelling_variant,driving safety,high
7687,ma tesra3,ma tesra3,ما تسرع,do not speed,directions,phrase,phrase,driving safety,high
7688,ma tisra3,ma tesra3,ما تسرع,do not speed,directions,phrase,spelling_variant,driving safety,high
7689,sou2 shway shway,sou2 shway shway,سوق شوي شوي,drive slowly,directions,phrase,phrase,driving safety,high
7690,so2 shway shway,sou2 shway shway,سوق شوي شوي,drive slowly,directions,phrase,spelling_variant,driving safety,high
7691,ma 3am le2e ma7al saff,ma 3am le2e mahal saff,ما عم لاقي محل صفّ,I cannot find a place to park,transportation,phrase,phrase,parking problem,high
7692,ma 3m le2e mahal saff,ma 3am le2e mahal saff,ما عم لاقي محل صفّ,I cannot find a place to park,transportation,phrase,spelling_variant,parking problem,high
7693,l parking m3abba,l parking m3abba,الباركينغ معبّى,the parking is full,transportation,phrase,phrase,parking availability,high
7694,el parking m3abba,l parking m3abba,الباركينغ معبّى,the parking is full,transportation,phrase,spelling_variant,parking availability,high
7695,fi ma7al saff 3andkon,fi mahal saff 3andkon,في محل صفّ عندكن؟,is there a place to park at your place?,questions,phrase,question,parking question,high
7696,fi mahal saff 3andkon,fi mahal saff 3andkon,في محل صفّ عندكن؟,is there a place to park at your place?,questions,phrase,spelling_variant,parking question,high
7697,2elle iza fi parking,2elle iza fi parking,قلّي إذا في باركينغ,tell me if there is parking,questions,phrase,question,parking coordination,high
7698,elle iza fi parking,2elle iza fi parking,قلّي إذا في باركينغ,tell me if there is parking,questions,phrase,spelling_variant,parking coordination,high
7699,7a saff barra w eje,7a saff barra w eje,رح صفّ برّا وإجي,I will park outside and come,replies,phrase,reply,parking coordination,high
7700,ra7 saff barra w eje,7a saff barra w eje,رح صفّ برّا وإجي,I will park outside and come,replies,phrase,spelling_variant,parking coordination,high
7701,7a saff b3id w eje,7a saff b3id w eje,رح صفّ بعيد وإجي,I will park far away and come,replies,phrase,reply,parking coordination,high
7702,ra7 saff b3id w eje,7a saff b3id w eje,رح صفّ بعيد وإجي,I will park far away and come,replies,phrase,spelling_variant,parking coordination,high
7703,7a saff 3al janab,7a saff 3al janab,رح صفّ عالجنب,I will park on the side,replies,phrase,reply,parking coordination,high
7704,ra7 saff 3al janab,7a saff 3al janab,رح صفّ عالجنب,I will park on the side,replies,phrase,spelling_variant,parking coordination,high
7705,saffet barra,saffet barra,صفّيت برّا,I parked outside,replies,phrase,reply,parking status,high
7706,saffit barra,saffet barra,صفّيت برّا,I parked outside,replies,phrase,spelling_variant,parking status,high
7707,saffet 3al tari2,saffet 3al tari2,صفّيت عالطريق,I parked on the road,replies,phrase,reply,parking status,high
7708,saffit 3al tari2,saffet 3al tari2,صفّيت عالطريق,I parked on the road,replies,phrase,spelling_variant,parking status,high
7709,ma 3am fiyye etla3 mn l parking,ma 3am fiyye etla3 mn l parking,ما عم فيي إطلع من الباركينغ,I cannot get out of the parking,transportation,phrase,phrase,parking problem,high
7710,ma 3m fiyye etla3 mn el parking,ma 3am fiyye etla3 mn l parking,ما عم فيي إطلع من الباركينغ,I cannot get out of the parking,transportation,phrase,spelling_variant,parking problem,high
7711,fi sayara msakkra 3layye,fi sayara msakkra 3layye,في سيارة مسكّرة عليي,there is a car blocking me,transportation,phrase,phrase,parking blockage,high
7712,fe sayara msakkra 3layye,fi sayara msakkra 3layye,في سيارة مسكّرة عليي,there is a car blocking me,transportation,phrase,spelling_variant,parking blockage,high
7713,beb l parking ma 3am yefta7,beb l parking ma 3am yefta7,باب الباركينغ ما عم يفتح,the parking gate is not opening,transportation,phrase,phrase,parking problem,high
7714,beb el parking ma 3am yefta7,beb l parking ma 3am yefta7,باب الباركينغ ما عم يفتح,the parking gate is not opening,transportation,phrase,spelling_variant,parking problem,high
7715,tla2ene 3and l parking,tla2ene 3and l parking,بتلاقيني عند الباركينغ,you will find me by the parking,replies,phrase,reply,parking meeting point,high
7716,tle2ine 3and el parking,tla2ene 3and l parking,بتلاقيني عند الباركينغ,you will find me by the parking,replies,phrase,spelling_variant,parking meeting point,high
7717,natrak 3and l parking,natrak 3and l parking,ناطرك عند الباركينغ,I am waiting for you by the parking,replies,phrase,reply,waiting for masculine/general,high
7718,natirak 3and el parking,natrak 3and l parking,ناطرك عند الباركينغ,I am waiting for you by the parking,replies,phrase,spelling_variant,waiting for masculine/general,high
7719,natrik 3and l parking,natrik 3and l parking,ناطرِك عند الباركينغ,I am waiting for you by the parking,replies,phrase,reply,waiting for feminine,high
7720,natirik 3and el parking,natrik 3and l parking,ناطرِك عند الباركينغ,I am waiting for you by the parking,replies,phrase,spelling_variant,waiting for feminine,high
7721,khallik 3and l parking,khallik 3and l parking,خلّيك عند الباركينغ,stay by the parking,directions,phrase,phrase,parking coordination,high
7722,5allik 3and el parking,khallik 3and l parking,خلّيك عند الباركينغ,stay by the parking,directions,phrase,spelling_variant,parking coordination,high
7723,ma tsakkir 3a 7ada,ma tsakkir 3a 7ada,ما تسكّر ع حدا,do not block anyone in,directions,phrase,phrase,parking etiquette,high
7724,ma tsakker 3a hada,ma tsakkir 3a 7ada,ما تسكّر ع حدا,do not block anyone in,directions,phrase,spelling_variant,parking etiquette,high
7725,ba3dak honik,ba3dak honik,بعدك هونيك؟,are you still there?,questions,phrase,question,masculine/general location check,high
7726,ba3dak hounik,ba3dak honik,بعدك هونيك؟,are you still there?,questions,phrase,spelling_variant,masculine/general location check,high
7727,ba3dik honik,ba3dik honik,بعدِك هونيك؟,are you still there?,questions,phrase,question,feminine location check,high
7728,ba3dik hounik,ba3dik honik,بعدِك هونيك؟,are you still there?,questions,phrase,spelling_variant,feminine location check,high
7729,ba3edkon 3al mahal,ba3edkon 3al ma7al,بعدكن بالمحل؟,are you all still at the place?,questions,phrase,question,group location check,high
7730,ba3edkon 3al ma7al,ba3edkon 3al ma7al,بعدكن بالمحل؟,are you all still at the place?,questions,phrase,spelling_variant,group location check,high
7731,woselt 3a mahalak,woselt 3a mahalak,وصلت عمحلّك,I reached your place,replies,phrase,reply,arrival update to masculine/general,high
7732,wselt 3a mahalak,woselt 3a mahalak,وصلت عمحلّك,I reached your place,replies,phrase,spelling_variant,arrival update to masculine/general,high
7733,woselt 3a mahalik,woselt 3a mahalik,وصلت عمحلِّك,I reached your place,replies,phrase,reply,arrival update to feminine,high
7734,wselt 3a mahalik,woselt 3a mahalik,وصلت عمحلِّك,I reached your place,replies,phrase,spelling_variant,arrival update to feminine,high
7735,ana 3and l madkhal,ana 3and l madkhal,أنا عند المدخل,I am by the entrance,replies,phrase,reply,meeting location update,high
7736,ene 3and l madkhal,ana 3and l madkhal,أنا عند المدخل,I am by the entrance,replies,phrase,spelling_variant,meeting location update,high
7737,ana 7ad l beb,ana 7ad l beb,أنا حد الباب,I am by the door,replies,phrase,reply,precise location update,high
7738,ana 7add l beb,ana 7ad l beb,أنا حد الباب,I am by the door,replies,phrase,spelling_variant,precise location update,high
7739,nater 3al zawye,nater 3al zawye,ناطر عالزاوية,I am waiting at the corner,replies,phrase,reply,masculine/general waiting location,high
7740,natir 3al zawye,nater 3al zawye,ناطر عالزاوية,I am waiting at the corner,replies,phrase,spelling_variant,masculine/general waiting location,high
7741,natra 3al zawye,natra 3al zawye,ناطرة عالزاوية,I am waiting at the corner,replies,phrase,reply,feminine waiting location,high
7742,natra 3al zewye,natra 3al zawye,ناطرة عالزاوية,I am waiting at the corner,replies,phrase,spelling_variant,feminine waiting location,high
7743,naterin 3al zawye,naterin 3al zawye,ناطرين عالزاوية,we are waiting at the corner,replies,phrase,reply,group waiting location,high
7744,natrin 3al zawye,naterin 3al zawye,ناطرين عالزاوية,we are waiting at the corner,replies,phrase,spelling_variant,group waiting location,high
7745,ana barra l bineye,ana barra l bineye,أنا برّا البناية,I am outside the building,replies,phrase,reply,outside waiting update,high
7746,ana bara el bineye,ana barra l bineye,أنا برّا البناية,I am outside the building,replies,phrase,spelling_variant,outside waiting update,high
7747,ana 3a beb l bineye,ana 3a beb l bineye,أنا ع باب البناية,I am at the building door,replies,phrase,reply,outside waiting update,high
